id,protocol,protocol_extension,title,category,natural_language,normative_strength,standard,standard_section,standard_url,standard_excerpt,time_value_ms,time_source,mathematical_mitl,mightyppl_formula,interval_class,pointwise_semantics,finite_end_semantics,atomic_propositions,correlation_key,projection_rule,source_repository,source_commit,source_path,source_symbol,source_lines,source_url,instrumentation_timing,observability,oracle_value,triggerability,confidence,positive_trace,negative_trace,human_review_status,review_question,validation_build_ok,validation_positive_symbolic,validation_negative_symbolic,validation_positive_concrete,validation_negative_concrete,validation_expected_oracle_ok,validation_symbolic_concrete_consistent,validation_ap_order,validation_positive_locations,validation_positive_edges,validation_positive_clocks,validation_negative_locations,validation_negative_edges,validation_negative_clocks,validation_build_ms,validation_monitor_ms_positive,validation_monitor_ms_negative,validation_status
SIP-TX-01,SIP,RFC 3261 transaction/proxy core,Timer A initial schedule,INVITE UAC retransmission,UDP INVITE 进入 Calling 后，Timer A 在 T1 前不得触发，并应在 T1 时触发或因事务停止而取消。,MUST,RFC 3261,17.1.1.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.1.2,For unreliable transport the client transaction MUST start timer A with T1.,500,"RFC 3261 defaults: T1=500 ms, T2=4000 ms, T4=5000 ms","G* (udp_invite_sent -> (G [0,500) (!timer_a_fired) && F [0,500] (timer_a_fired || invite_transaction_stopped)))","G* (udp_invite_sent -> (G [0,500) (!timer_a_fired) && F [0,500] (timer_a_fired || invite_transaction_stopped)))",NON_PUNCTUAL,strict pointwise; finite word; absolute integer milliseconds,trace extends through the largest bounded obligation; G* is evaluated on the transaction projection,"[""udp_invite_sent"", ""timer_a_fired"", ""invite_transaction_stopped""]",session_id + Via branch + CSeq number/method; ACK additionally matches RFC 3261 transaction rules,"correlate first, then project one transaction; dynamic identifiers never enter AP names",pjsip/pjproject,bba95b8a95c0a9e8c1939166fd20083ae9e3e956,pjsip/src/pjsip/sip_transaction.c,tsx_on_state_null,2505-2524,https://github.com/pjsip/pjproject/blob/bba95b8a95c0a9e8c1939166fd20083ae9e3e956/pjsip/src/pjsip/sip_transaction.c#L2505,在首次 INVITE 发送和 tsx_schedule_timer(T1) 后原子记录。,HYBRID,HIGH,HIGH,HIGH,"[{""time"": 0, ""props"": [""udp_invite_sent""]}, {""time"": 500, ""props"": [""timer_a_fired""]}, {""time"": 501, ""props"": []}]","[{""time"": 0, ""props"": [""udp_invite_sent""]}, {""time"": 499, ""props"": [""timer_a_fired""]}, {""time"": 501, ""props"": []}]",PENDING,请确认该事务投影与 RFC 角色/传输条件一致。,True,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,True,True,"[""udp_invite_sent"", ""timer_a_fired"", ""invite_transaction_stopped""]",11,164,2,9,142,2,21,0,0,PASS
SIP-TX-02,SIP,RFC 3261 transaction/proxy core,Timer A causes the first INVITE retransmission,INVITE UAC retransmission,未被响应或停止的 UDP INVITE 必须在首个 T1 周期结束前产生第一次重传。,MUST,RFC 3261,17.1.1.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.1.2,"When timer A fires, the client transaction MUST retransmit the request.",500,"RFC 3261 defaults: T1=500 ms, T2=4000 ms, T4=5000 ms","G* (udp_invite_sent -> (G [0,500) (!invite_retransmitted) && F [0,500] (invite_retransmitted || invite_transaction_stopped)))","G* (udp_invite_sent -> (G [0,500) (!invite_retransmitted) && F [0,500] (invite_retransmitted || invite_transaction_stopped)))",NON_PUNCTUAL,strict pointwise; finite word; absolute integer milliseconds,trace extends through the largest bounded obligation; G* is evaluated on the transaction projection,"[""udp_invite_sent"", ""invite_retransmitted"", ""invite_transaction_stopped""]",session_id + Via branch + CSeq number/method; ACK additionally matches RFC 3261 transaction rules,"correlate first, then project one transaction; dynamic identifiers never enter AP names",pjsip/pjproject,bba95b8a95c0a9e8c1939166fd20083ae9e3e956,pjsip/src/pjsip/sip_transaction.c,tsx_on_state_calling,2540-2555,https://github.com/pjsip/pjproject/blob/bba95b8a95c0a9e8c1939166fd20083ae9e3e956/pjsip/src/pjsip/sip_transaction.c#L2540,在 Timer 回调进入后、tsx_retransmit 返回成功时合并同一 microstep。,WHITEBOX,HIGH,HIGH,HIGH,"[{""time"": 0, ""props"": [""udp_invite_sent""]}, {""time"": 500, ""props"": [""invite_retransmitted""]}, {""time"": 501, ""props"": []}]","[{""time"": 0, ""props"": [""udp_invite_sent""]}, {""time"": 501, ""props"": []}]",PENDING,请确认该事务投影与 RFC 角色/传输条件一致。,True,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,True,True,"[""udp_invite_sent"", ""invite_retransmitted"", ""invite_transaction_stopped""]",11,164,2,9,142,2,33,0,0,PASS
SIP-TX-03,SIP,RFC 3261 transaction/proxy core,Timer A second interval doubles,INVITE UAC retransmission,第一次 Timer A 周期完成后，下一次重传间隔必须为 2*T1，除非事务提前停止。,MUST,RFC 3261,17.1.1.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.1.2,The request MUST be retransmitted and the timer reset to 2*T1; intervals continue doubling.,500,"RFC 3261 defaults: T1=500 ms, T2=4000 ms, T4=5000 ms","G* (timer_a_first_cycle_completed -> (G [0,1000) (!invite_retransmitted) && F [0,1000] (invite_retransmitted || invite_transaction_stopped)))","G* (timer_a_first_cycle_completed -> (G [0,1000) (!invite_retransmitted) && F [0,1000] (invite_retransmitted || invite_transaction_stopped)))",NON_PUNCTUAL,strict pointwise; finite word; absolute integer milliseconds,trace extends through the largest bounded obligation; G* is evaluated on the transaction projection,"[""timer_a_first_cycle_completed"", ""invite_retransmitted"", ""invite_transaction_stopped""]",session_id + Via branch + CSeq number/method; ACK additionally matches RFC 3261 transaction rules,"correlate first, then project one transaction; dynamic identifiers never enter AP names",pjsip/pjproject,bba95b8a95c0a9e8c1939166fd20083ae9e3e956,pjsip/src/pjsip/sip_transaction.c,tsx_resched_retransmission,2336-2376,https://github.com/pjsip/pjproject/blob/bba95b8a95c0a9e8c1939166fd20083ae9e3e956/pjsip/src/pjsip/sip_transaction.c#L2336,在计算 msec_time 并重新调度之后记录 derived AP；同时保留 old/new interval 字段。,WHITEBOX,HIGH,HIGH,HIGH,"[{""time"": 0, ""props"": [""timer_a_first_cycle_completed""]}, {""time"": 1000, ""props"": [""invite_retransmitted""]}, {""time"": 1001, ""props"": []}]","[{""time"": 0, ""props"": [""timer_a_first_cycle_completed""]}, {""time"": 999, ""props"": [""invite_retransmitted""]}, {""time"": 1001, ""props"": []}]",PENDING,请确认该事务投影与 RFC 角色/传输条件一致。,True,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,True,True,"[""timer_a_first_cycle_completed"", ""invite_retransmitted"", ""invite_transaction_stopped""]",11,164,2,9,142,2,21,0,0,PASS
SIP-TX-04,SIP,RFC 3261 transaction/proxy core,Timer B transaction deadline,INVITE UAC timeout,INVITE 客户事务在 64*T1 前不得 Timer B 超时，并应在该时刻前收到最终响应或 Timer B 触发。,MUST/SHOULD,RFC 3261,17.1.1.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.1.2,For any transport the client transaction MUST start timer B with 64*T1.,32000,"RFC 3261 defaults: T1=500 ms, T2=4000 ms, T4=5000 ms","G* (invite_client_calling_entered -> (G [0,32000) (!timer_b_fired) && F [0,32000] (timer_b_fired || invite_final_response_received)))","G* (invite_client_calling_entered -> (G [0,32000) (!timer_b_fired) && F [0,32000] (timer_b_fired || invite_final_response_received)))",NON_PUNCTUAL,strict pointwise; finite word; absolute integer milliseconds,trace extends through the largest bounded obligation; G* is evaluated on the transaction projection,"[""invite_client_calling_entered"", ""timer_b_fired"", ""invite_final_response_received""]",session_id + Via branch + CSeq number/method; ACK additionally matches RFC 3261 transaction rules,"correlate first, then project one transaction; dynamic identifiers never enter AP names",pjsip/pjproject,bba95b8a95c0a9e8c1939166fd20083ae9e3e956,pjsip/src/pjsip/sip_transaction.c,tsx_on_state_null/tsx_on_state_calling,2505-2512;2557-2570,https://github.com/pjsip/pjproject/blob/bba95b8a95c0a9e8c1939166fd20083ae9e3e956/pjsip/src/pjsip/sip_transaction.c#L2505,在 timeout_timer 调度与回调处分开记录 start/fire；最终响应为替代终止事件。,HYBRID,HIGH,HIGH,HIGH,"[{""time"": 0, ""props"": [""invite_client_calling_entered""]}, {""time"": 32000, ""props"": [""timer_b_fired""]}, {""time"": 32001, ""props"": []}]","[{""time"": 0, ""props"": [""invite_client_calling_entered""]}, {""time"": 31999, ""props"": [""timer_b_fired""]}, {""time"": 32001, ""props"": []}]",PENDING,请确认该事务投影与 RFC 角色/传输条件一致。,True,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,True,True,"[""invite_client_calling_entered"", ""timer_b_fired"", ""invite_final_response_received""]",11,164,2,9,142,2,22,0,0,PASS
SIP-TX-05,SIP,RFC 3261 transaction/proxy core,Provisional response stops INVITE retransmission,INVITE UAC state transition,同一 INVITE 事务收到 1xx 后不应继续重传 INVITE。,SHOULD NOT,RFC 3261,17.1.1.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.1.2,"In Proceeding, the client transaction SHOULD NOT retransmit the request any longer.",32000,"RFC 3261 defaults: T1=500 ms, T2=4000 ms, T4=5000 ms",G* (invite_provisional_received -> G* (!invite_retransmitted)),G* (invite_provisional_received -> G* (!invite_retransmitted)),NON_PUNCTUAL,strict pointwise; finite word; absolute integer milliseconds,trace extends through the largest bounded obligation; G* is evaluated on the transaction projection,"[""invite_provisional_received"", ""invite_retransmitted""]",session_id + Via branch + CSeq number/method; ACK additionally matches RFC 3261 transaction rules,"correlate first, then project one transaction; dynamic identifiers never enter AP names",pjsip/pjproject,bba95b8a95c0a9e8c1939166fd20083ae9e3e956,pjsip/src/pjsip/sip_transaction.c,tsx_on_state_calling,2586-2623,https://github.com/pjsip/pjproject/blob/bba95b8a95c0a9e8c1939166fd20083ae9e3e956/pjsip/src/pjsip/sip_transaction.c#L2586,收到 1xx、取消 INVITE retransmit timer 后记录；事务投影在结束前封闭。,HYBRID,HIGH,HIGH,HIGH,"[{""time"": 0, ""props"": [""invite_provisional_received""]}, {""time"": 32001, ""props"": []}]","[{""time"": 0, ""props"": [""invite_provisional_received""]}, {""time"": 500, ""props"": [""invite_retransmitted""]}, {""time"": 32001, ""props"": []}]",PENDING,SHOULD NOT 被用作异常 oracle；请确认是否作为论文主性质或降为软违反。,True,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,True,True,"[""invite_provisional_received"", ""invite_retransmitted""]",5,18,2,7,48,2,35,0,0,PASS
SIP-TX-06,SIP,RFC 3261 transaction/proxy core,Timer D minimum retention,INVITE UAC completed retention,UDP INVITE 客户事务进入 Completed 后至少 32 秒内不得终止。,SHOULD,RFC 3261,17.1.1.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.1.2,Timer D has a value of at least 32 seconds for unreliable transports.,32000,"RFC 3261 defaults: T1=500 ms, T2=4000 ms, T4=5000 ms","G* (udp_invite_client_completed -> G [0,32000) (!transaction_terminated))","G* (udp_invite_client_completed -> G [0,32000) (!transaction_terminated))",NON_PUNCTUAL,strict pointwise; finite word; absolute integer milliseconds,trace extends through the largest bounded obligation; G* is evaluated on the transaction projection,"[""udp_invite_client_completed"", ""transaction_terminated""]",session_id + Via branch + CSeq number/method; ACK additionally matches RFC 3261 transaction rules,"correlate first, then project one transaction; dynamic identifiers never enter AP names",pjsip/pjproject,bba95b8a95c0a9e8c1939166fd20083ae9e3e956,pjsip/src/pjsip/sip_transaction.c,tsx_on_state_proceeding_uac,3131-3196,https://github.com/pjsip/pjproject/blob/bba95b8a95c0a9e8c1939166fd20083ae9e3e956/pjsip/src/pjsip/sip_transaction.c#L3131,在 300--699 ACK 发送、Completed 进入和 Timer D 调度处记录。,HYBRID,HIGH,HIGH,HIGH,"[{""time"": 0, ""props"": [""udp_invite_client_completed""]}, {""time"": 32000, ""props"": []}]","[{""time"": 0, ""props"": [""udp_invite_client_completed""]}, {""time"": 31999, ""props"": [""transaction_terminated""]}, {""time"": 32000, ""props"": []}]",PENDING,请确认该事务投影与 RFC 角色/传输条件一致。,True,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,True,True,"[""udp_invite_client_completed"", ""transaction_terminated""]",5,34,2,7,48,2,17,0,0,PASS
SIP-TX-07,SIP,RFC 3261 transaction/proxy core,Timer E initial schedule,non-INVITE UAC retransmission,UDP non-INVITE 进入 Trying 后，Timer E 在 T1 前不得触发，并应在 T1 时触发或因最终响应停止。,MUST,RFC 3261,17.1.2.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.2.2,For unreliable transport the client transaction MUST set timer E to fire in T1.,500,"RFC 3261 defaults: T1=500 ms, T2=4000 ms, T4=5000 ms","G* (udp_noninvite_sent -> (G [0,500) (!timer_e_fired) && F [0,500] (timer_e_fired || noninvite_final_response_received)))","G* (udp_noninvite_sent -> (G [0,500) (!timer_e_fired) && F [0,500] (timer_e_fired || noninvite_final_response_received)))",NON_PUNCTUAL,strict pointwise; finite word; absolute integer milliseconds,trace extends through the largest bounded obligation; G* is evaluated on the transaction projection,"[""udp_noninvite_sent"", ""timer_e_fired"", ""noninvite_final_response_received""]",session_id + Via branch + CSeq number/method; ACK additionally matches RFC 3261 transaction rules,"correlate first, then project one transaction; dynamic identifiers never enter AP names",pjsip/pjproject,bba95b8a95c0a9e8c1939166fd20083ae9e3e956,pjsip/src/pjsip/sip_transaction.c,tsx_on_state_null,2514-2524,https://github.com/pjsip/pjproject/blob/bba95b8a95c0a9e8c1939166fd20083ae9e3e956/pjsip/src/pjsip/sip_transaction.c#L2514,按 CSeq method 区分 E 与 A，在 T1 调度后记录。,HYBRID,HIGH,HIGH,HIGH,"[{""time"": 0, ""props"": [""udp_noninvite_sent""]}, {""time"": 500, ""props"": [""timer_e_fired""]}, {""time"": 501, ""props"": []}]","[{""time"": 0, ""props"": [""udp_noninvite_sent""]}, {""time"": 499, ""props"": [""timer_e_fired""]}, {""time"": 501, ""props"": []}]",PENDING,请确认该事务投影与 RFC 角色/传输条件一致。,True,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,True,True,"[""udp_noninvite_sent"", ""timer_e_fired"", ""noninvite_final_response_received""]",11,164,2,9,142,2,18,0,0,PASS
SIP-TX-08,SIP,RFC 3261 transaction/proxy core,Timer E causes the first non-INVITE retransmission,non-INVITE UAC retransmission,未收到最终响应的 UDP non-INVITE 必须在首个 T1 周期结束前产生第一次重传。,MUST,RFC 3261,17.1.2.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.2.2,"If Timer E fires, the request MUST be passed to the transport layer for retransmission.",500,"RFC 3261 defaults: T1=500 ms, T2=4000 ms, T4=5000 ms","G* (udp_noninvite_sent -> (G [0,500) (!noninvite_retransmitted) && F [0,500] (noninvite_retransmitted || noninvite_final_response_received)))","G* (udp_noninvite_sent -> (G [0,500) (!noninvite_retransmitted) && F [0,500] (noninvite_retransmitted || noninvite_final_response_received)))",NON_PUNCTUAL,strict pointwise; finite word; absolute integer milliseconds,trace extends through the largest bounded obligation; G* is evaluated on the transaction projection,"[""udp_noninvite_sent"", ""noninvite_retransmitted"", ""noninvite_final_response_received""]",session_id + Via branch + CSeq number/method; ACK additionally matches RFC 3261 transaction rules,"correlate first, then project one transaction; dynamic identifiers never enter AP names",pjsip/pjproject,bba95b8a95c0a9e8c1939166fd20083ae9e3e956,pjsip/src/pjsip/sip_transaction.c,tsx_on_state_calling,2546-2555,https://github.com/pjsip/pjproject/blob/bba95b8a95c0a9e8c1939166fd20083ae9e3e956/pjsip/src/pjsip/sip_transaction.c#L2546,Timer 回调与成功发送在同一 microstep 合并。,WHITEBOX,HIGH,HIGH,HIGH,"[{""time"": 0, ""props"": [""udp_noninvite_sent""]}, {""time"": 500, ""props"": [""noninvite_retransmitted""]}, {""time"": 501, ""props"": []}]","[{""time"": 0, ""props"": [""udp_noninvite_sent""]}, {""time"": 501, ""props"": []}]",PENDING,请确认该事务投影与 RFC 角色/传输条件一致。,True,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,True,True,"[""udp_noninvite_sent"", ""noninvite_retransmitted"", ""noninvite_final_response_received""]",11,164,2,9,142,2,18,0,0,PASS
SIP-TX-09,SIP,RFC 3261 transaction/proxy core,Timer E second interval doubles,non-INVITE UAC retransmission,"第一次 Timer E 周期完成后，下一次重传间隔必须为 MIN(2*T1,T2)。",MUST,RFC 3261,17.1.2.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.2.2,"Timer E is reset to MIN(2*T1,T2), then MIN(4*T1,T2), capping at T2.",500/4000,"RFC 3261 defaults: T1=500 ms, T2=4000 ms, T4=5000 ms","G* (timer_e_first_cycle_completed -> (G [0,1000) (!noninvite_retransmitted) && F [0,1000] (noninvite_retransmitted || noninvite_final_response_received)))","G* (timer_e_first_cycle_completed -> (G [0,1000) (!noninvite_retransmitted) && F [0,1000] (noninvite_retransmitted || noninvite_final_response_received)))",NON_PUNCTUAL,strict pointwise; finite word; absolute integer milliseconds,trace extends through the largest bounded obligation; G* is evaluated on the transaction projection,"[""timer_e_first_cycle_completed"", ""noninvite_retransmitted"", ""noninvite_final_response_received""]",session_id + Via branch + CSeq number/method; ACK additionally matches RFC 3261 transaction rules,"correlate first, then project one transaction; dynamic identifiers never enter AP names",pjsip/pjproject,bba95b8a95c0a9e8c1939166fd20083ae9e3e956,pjsip/src/pjsip/sip_transaction.c,tsx_resched_retransmission,2342-2354,https://github.com/pjsip/pjproject/blob/bba95b8a95c0a9e8c1939166fd20083ae9e3e956/pjsip/src/pjsip/sip_transaction.c#L2342,"比较 old/new interval，derived AP 仅在 new=min(2*old,T2) 时为真。",WHITEBOX,HIGH,HIGH,HIGH,"[{""time"": 0, ""props"": [""timer_e_first_cycle_completed""]}, {""time"": 1000, ""props"": [""noninvite_retransmitted""]}, {""time"": 1001, ""props"": []}]","[{""time"": 0, ""props"": [""timer_e_first_cycle_completed""]}, {""time"": 999, ""props"": [""noninvite_retransmitted""]}, {""time"": 1001, ""props"": []}]",PENDING,请确认该事务投影与 RFC 角色/传输条件一致。,True,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,True,True,"[""timer_e_first_cycle_completed"", ""noninvite_retransmitted"", ""noninvite_final_response_received""]",11,164,2,9,142,2,18,0,0,PASS
SIP-TX-10,SIP,RFC 3261 transaction/proxy core,Timer E switches to T2 after provisional,non-INVITE UAC proceeding,收到 non-INVITE 1xx 后，Timer E 应切换为 T2；在 T2 前不得触发，并在 T2 时触发或被最终响应取消。,MUST,RFC 3261,17.1.2.2,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.1.2.2,"In Proceeding, Timer E MUST be reset with a value of T2 seconds.",4000,"RFC 3261 defaults: T1=500 ms, T2=4000 ms, T4=5000 ms","G* (noninvite_provisional_received -> (G [0,4000) (!timer_e_fired) && F [0,4000] (timer_e_fired || noninvite_final_response_received)))","G* (noninvite_provisional_received -> (G [0,4000) (!timer_e_fired) && F [0,4000] (timer_e_fired || noninvite_final_response_received)))",NON_PUNCTUAL,strict pointwise; finite word; absolute integer milliseconds,trace extends through the largest bounded obligation; G* is evaluated on the transaction projection,"[""noninvite_provisional_received"", ""timer_e_fired"", ""noninvite_final_response_received""]",session_id + Via branch + CSeq number/method; ACK additionally matches RFC 3261 transaction rules,"correlate first, then project one transaction; dynamic identifiers never enter AP names",pjsip/pjproject,bba95b8a95c0a9e8c1939166fd20083ae9e3e956,pjsip/src/pjsip/sip_transaction.c,tsx_on_state_calling,2600-2623,https://github.com/pjsip/pjproject/blob/bba95b8a95c0a9e8c1939166fd20083ae9e3e956/pjsip/src/pjsip/sip_transaction.c#L2600,1xx 分支取消旧 retransmit timer 并以 t2_timer_val 重排后记录。,HYBRID,HIGH,HIGH,HIGH,"[{""time"": 0, ""props"": [""noninvite_provisional_received""]}, {""time"": 4000, ""props"": [""timer_e_fired""]}, {""time"": 4001, ""props"": []}]","[{""time"": 0, ""props"": [""noninvite_provisional_received""]}, {""time"": 3999, ""props"": [""timer_e_fired""]}, {""time"": 4001, ""props"": []}]",PENDING,请确认该事务投影与 RFC 角色/传输条件一致。,True,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,True,True,"[""noninvite_provisional_received"", ""timer_e_fired"", ""noninvite_final_response_received""]",11,164,2,9,142,2,29,0,0,PASS
