hook_id,file,line,status,line_text,function_or_symbol,source_url
HK_RX_PARSE_OK,src/core/receive.c,296,PASS,"if(parse_msg(buf, len, msg) != 0) {",receive_msg,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/core/receive.c#L296
HK_TX_NEW,src/modules/tm/t_lookup.c,1437,PASS,my_err=new_t(p_msg);,t_newtran,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/modules/tm/t_lookup.c#L1437
HK_TX_LOOKUP,src/modules/tm/t_lookup.c,514,PASS,if (branch && branch->value.s && branch->value.len>MCOOKIE_LEN,t_lookup_request,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/modules/tm/t_lookup.c#L514
HK_RETRANSMIT_REPLY,src/modules/tm/t_reply.c,1689,PASS,"if(SEND_PR_BUFFER( & t->uas.response, b, len )<0) {",t_retransmit_reply,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/modules/tm/t_reply.c#L1689
HK_REPLY_RECEIVED,src/modules/tm/t_reply.c,2293,PASS,int reply_received( struct sip_msg  *p_msg ),reply_received,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/modules/tm/t_reply.c#L2293
HK_RELAY_REPLY,src/modules/tm/t_reply.c,1879,PASS,"enum rps relay_reply( struct cell *t, struct sip_msg *p_msg, int branch,",relay_reply,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/modules/tm/t_reply.c#L1879
HK_SEND_PR_BUFFER,src/modules/tm/t_funcs.c,62,PASS,"int send_pr_buffer(	struct retr_buf *rb, void *buf, int len",send_pr_buffer,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/modules/tm/t_funcs.c#L62
HK_FORWARD_NONACK,src/modules/tm/t_fwd.c,1644,PASS,if (p_msg->REQ_METHOD==METHOD_CANCEL) {,t_forward_nonack,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/modules/tm/t_fwd.c#L1644
HK_E2E_CANCEL,src/modules/tm/t_fwd.c,1270,PASS,"void e2e_cancel( struct sip_msg *cancel_msg,",e2e_cancel,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/modules/tm/t_fwd.c#L1270
HK_CANCEL_BRANCH,src/modules/tm/t_cancel.c,206,PASS,"int cancel_branch( struct cell *t, int branch,",cancel_branch,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/modules/tm/t_cancel.c#L206
HK_TIMER_ARM,src/modules/tm/timer.h,212,PASS,ret = timer_add(,_set_fr_retr,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/modules/tm/timer.h#L212
HK_TIMER_STOP,src/modules/tm/timer.h,225,PASS,#define stop_rb_timers(rb)                                           \,stop_rb_timers,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/modules/tm/timer.h#L225
HK_PUT_ON_WAIT,src/modules/tm/t_funcs.c,117,PASS,void put_on_wait(  struct cell  *Trans  ),put_on_wait,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/modules/tm/t_funcs.c#L117
HK_T_REPLY_MATCHING,src/modules/tm/t_lookup.c,837,PASS,"int t_reply_matching( struct sip_msg *p_msg , int *p_branch )",t_reply_matching,https://github.com/kamailio/kamailio/blob/2648eb330b133a20f1398d59a28c53532106cad3/src/modules/tm/t_lookup.c#L837
