property_id,atomic_proposition,event_predicate,correlation_key,projection_rule,monitor_instantiation,source_mappings,auxiliary_source_urls,instrumentation_timing,observability
DDS-WRITE-01,reliable_write_resource_wait_started_default,A RELIABLE DataWriter with max_blocking_time=100 ms reaches DataWriterHistory::prepare_change and is about to wait_for_acknowledgement because resource/history space is unavailable.,DataWriter entity GUID + calling thread operation sequence + instance handle as a field,"EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one synchronous write operation and exactly one actual resource-wait episode; precondition/serialization work before waiting is excluded, and the API return ends it.","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""A RELIABLE DataWriter with max_blocking_time=100 ms reaches DataWriterHistory::prepare_change and is about to wait_for_acknowledgement because resource/history space is unavailable."", ""instrumentation_timing"": ""Emit trigger immediately before wait_for_acknowledgement at lines 230-234 after confirming the 100 ms QoS/deadline snapshot. Emit the correlated API return at DataWriterImpl; serialization/precondition time before the resource wait is not mislabeled as waiting time."", ""atomic_propositions"": [""reliable_write_resource_wait_started_default""], ""repository"": ""eProsima/Fast-DDS"", ""commit"": ""94940169442298e2736af79720ef05d89a1b2a7d"", ""path"": ""src/cpp/fastdds/publisher/DataWriterHistory.cpp"", ""symbol"": ""DataWriterHistory::prepare_change"", ""lines"": ""148-234"", ""url"": ""https://github.com/eProsima/Fast-DDS/blob/94940169442298e2736af79720ef05d89a1b2a7d/src/cpp/fastdds/publisher/DataWriterHistory.cpp#L148-L234"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}, {""mapping"": ""auxiliary:1"", ""role"": ""absolute max-blocking deadline and API return"", ""event_predicate"": ""A RELIABLE DataWriter with max_blocking_time=100 ms reaches DataWriterHistory::prepare_change and is about to wait_for_acknowledgement because resource/history space is unavailable."", ""instrumentation_timing"": ""Emit trigger immediately before wait_for_acknowledgement at lines 230-234 after confirming the 100 ms QoS/deadline snapshot. Emit the correlated API return at DataWriterImpl; serialization/precondition time before the resource wait is not mislabeled as waiting time."", ""atomic_propositions"": [""reliable_write_resource_wait_started_default"", ""write_returned_from_blocking""], ""repository"": ""eProsima/Fast-DDS"", ""commit"": ""94940169442298e2736af79720ef05d89a1b2a7d"", ""path"": ""src/cpp/fastdds/publisher/DataWriterImpl.cpp"", ""symbol"": ""DataWriterImpl::perform_create_new_change"", ""lines"": ""1003-1107"", ""url"": ""https://github.com/eProsima/Fast-DDS/blob/94940169442298e2736af79720ef05d89a1b2a7d/src/cpp/fastdds/publisher/DataWriterImpl.cpp#L1003-L1107"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit trigger immediately before wait_for_acknowledgement at lines 230-234 after confirming the 100 ms QoS/deadline snapshot. Emit the correlated API return at DataWriterImpl; serialization/precondition time before the resource wait is not mislabeled as waiting time.,WHITEBOX
DDS-WRITE-01,write_returned_from_blocking,"The correlated write returns OK, TIMEOUT, or the explicitly permitted OUT_OF_RESOURCES result.",DataWriter entity GUID + calling thread operation sequence + instance handle as a field,"EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one synchronous write operation and exactly one actual resource-wait episode; precondition/serialization work before waiting is excluded, and the API return ends it.","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:1"", ""role"": ""absolute max-blocking deadline and API return"", ""event_predicate"": ""The correlated write returns OK, TIMEOUT, or the explicitly permitted OUT_OF_RESOURCES result."", ""instrumentation_timing"": ""Emit trigger immediately before wait_for_acknowledgement at lines 230-234 after confirming the 100 ms QoS/deadline snapshot. Emit the correlated API return at DataWriterImpl; serialization/precondition time before the resource wait is not mislabeled as waiting time."", ""atomic_propositions"": [""reliable_write_resource_wait_started_default"", ""write_returned_from_blocking""], ""repository"": ""eProsima/Fast-DDS"", ""commit"": ""94940169442298e2736af79720ef05d89a1b2a7d"", ""path"": ""src/cpp/fastdds/publisher/DataWriterImpl.cpp"", ""symbol"": ""DataWriterImpl::perform_create_new_change"", ""lines"": ""1003-1107"", ""url"": ""https://github.com/eProsima/Fast-DDS/blob/94940169442298e2736af79720ef05d89a1b2a7d/src/cpp/fastdds/publisher/DataWriterImpl.cpp#L1003-L1107"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}, {""mapping"": ""auxiliary:2"", ""role"": ""templated history caller return"", ""event_predicate"": ""The correlated write returns OK, TIMEOUT, or the explicitly permitted OUT_OF_RESOURCES result."", ""instrumentation_timing"": ""Emit trigger immediately before wait_for_acknowledgement at lines 230-234 after confirming the 100 ms QoS/deadline snapshot. Emit the correlated API return at DataWriterImpl; serialization/precondition time before the resource wait is not mislabeled as waiting time."", ""atomic_propositions"": [""write_returned_from_blocking""], ""repository"": ""eProsima/Fast-DDS"", ""commit"": ""94940169442298e2736af79720ef05d89a1b2a7d"", ""path"": ""src/cpp/fastdds/publisher/DataWriterHistory.hpp"", ""symbol"": ""add_pub_change_with_commit_hook"", ""lines"": ""142-170"", ""url"": ""https://github.com/eProsima/Fast-DDS/blob/94940169442298e2736af79720ef05d89a1b2a7d/src/cpp/fastdds/publisher/DataWriterHistory.hpp#L142-L170"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit trigger immediately before wait_for_acknowledgement at lines 230-234 after confirming the 100 ms QoS/deadline snapshot. Emit the correlated API return at DataWriterImpl; serialization/precondition time before the resource wait is not mislabeled as waiting time.,WHITEBOX
RTPS-DISC-01,periodic_spdp_generation_started_30000,A steady-state non-directed SPDP announcement is sent and the next periodic generation is armed with resendPeriod=30 s.,domainId + local participant GUID prefix; directed destination GUIDs remain fields and are filtered out,EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one steady-state periodic generation for one local participant; exclude startup bursts/directed sends and explicitly close on reconfiguration or participant stop.,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""A steady-state non-directed SPDP announcement is sent and the next periodic generation is armed with resendPeriod=30 s."", ""instrumentation_timing"": ""After startup announcements are exhausted and resendPeriod=30 s is verified, each observed announceParticipantState(false) closes the old generation and arms a new one. Stamp an observed next send with the stored logical deadline; retain actual callback time separately."", ""atomic_propositions"": [""periodic_spdp_generation_started_30000""], ""repository"": ""eProsima/Fast-DDS"", ""commit"": ""94940169442298e2736af79720ef05d89a1b2a7d"", ""path"": ""src/cpp/rtps/builtin/discovery/participant/PDP.cpp"", ""symbol"": ""PDP::set_next_announcement_interval"", ""lines"": ""1534-1546"", ""url"": ""https://github.com/eProsima/Fast-DDS/blob/94940169442298e2736af79720ef05d89a1b2a7d/src/cpp/rtps/builtin/discovery/participant/PDP.cpp#L1534-L1546"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},"After startup announcements are exhausted and resendPeriod=30 s is verified, each observed announceParticipantState(false) closes the old generation and arms a new one. Stamp an observed next send with the stored logical deadline; retain actual callback time separately.",HYBRID
RTPS-DISC-01,next_periodic_spdp_announcement_sent,The next steady-state non-directed periodic SPDP announcement is actually handed to announceParticipantState(false); logical deadline and callback/send time are retained.,domainId + local participant GUID prefix; directed destination GUIDs remain fields and are filtered out,EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one steady-state periodic generation for one local participant; exclude startup bursts/directed sends and explicitly close on reconfiguration or participant stop.,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:1"", ""role"": ""periodic SPDP announcement action"", ""event_predicate"": ""The next steady-state non-directed periodic SPDP announcement is actually handed to announceParticipantState(false); logical deadline and callback/send time are retained."", ""instrumentation_timing"": ""After startup announcements are exhausted and resendPeriod=30 s is verified, each observed announceParticipantState(false) closes the old generation and arms a new one. Stamp an observed next send with the stored logical deadline; retain actual callback time separately."", ""atomic_propositions"": [""next_periodic_spdp_announcement_sent""], ""repository"": ""eProsima/Fast-DDS"", ""commit"": ""94940169442298e2736af79720ef05d89a1b2a7d"", ""path"": ""src/cpp/rtps/builtin/discovery/participant/PDP.cpp"", ""symbol"": ""PDP::announceParticipantState"", ""lines"": ""576-692"", ""url"": ""https://github.com/eProsima/Fast-DDS/blob/94940169442298e2736af79720ef05d89a1b2a7d/src/cpp/rtps/builtin/discovery/participant/PDP.cpp#L576-L692"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},"After startup announcements are exhausted and resendPeriod=30 s is verified, each observed announceParticipantState(false) closes the old generation and arms a new one. Stamp an observed next send with the stored logical deadline; retain actual callback time separately.",HYBRID
RTPS-DISC-01,spdp_period_generation_superseded,A configuration/reset operation replaces the scheduled periodic generation before its deadline.,domainId + local participant GUID prefix; directed destination GUIDs remain fields and are filtered out,EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one steady-state periodic generation for one local participant; exclude startup bursts/directed sends and explicitly close on reconfiguration or participant stop.,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:2"", ""role"": ""periodic announcement generation reset"", ""event_predicate"": ""A configuration/reset operation replaces the scheduled periodic generation before its deadline."", ""instrumentation_timing"": ""After startup announcements are exhausted and resendPeriod=30 s is verified, each observed announceParticipantState(false) closes the old generation and arms a new one. Stamp an observed next send with the stored logical deadline; retain actual callback time separately."", ""atomic_propositions"": [""spdp_period_generation_superseded""], ""repository"": ""eProsima/Fast-DDS"", ""commit"": ""94940169442298e2736af79720ef05d89a1b2a7d"", ""path"": ""src/cpp/rtps/builtin/discovery/participant/PDP.cpp"", ""symbol"": ""PDP::resetParticipantAnnouncement"", ""lines"": ""702-708"", ""url"": ""https://github.com/eProsima/Fast-DDS/blob/94940169442298e2736af79720ef05d89a1b2a7d/src/cpp/rtps/builtin/discovery/participant/PDP.cpp#L702-L708"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},"After startup announcements are exhausted and resendPeriod=30 s is verified, each observed announceParticipantState(false) closes the old generation and arms a new one. Stamp an observed next send with the stored logical deadline; retain actual callback time separately.",HYBRID
RTPS-DISC-01,local_participant_stopped,The local DomainParticipant is disabled/deleted before the next period.,domainId + local participant GUID prefix; directed destination GUIDs remain fields and are filtered out,EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one steady-state periodic generation for one local participant; exclude startup bursts/directed sends and explicitly close on reconfiguration or participant stop.,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:3"", ""role"": ""participant stop and timer cancellation"", ""event_predicate"": ""The local DomainParticipant is disabled/deleted before the next period."", ""instrumentation_timing"": ""After startup announcements are exhausted and resendPeriod=30 s is verified, each observed announceParticipantState(false) closes the old generation and arms a new one. Stamp an observed next send with the stored logical deadline; retain actual callback time separately."", ""atomic_propositions"": [""local_participant_stopped""], ""repository"": ""eProsima/Fast-DDS"", ""commit"": ""94940169442298e2736af79720ef05d89a1b2a7d"", ""path"": ""src/cpp/rtps/builtin/discovery/participant/PDP.cpp"", ""symbol"": ""PDP::stopParticipantAnnouncement / PDP::disable"", ""lines"": ""558-574;694-700"", ""url"": ""https://github.com/eProsima/Fast-DDS/blob/94940169442298e2736af79720ef05d89a1b2a7d/src/cpp/rtps/builtin/discovery/participant/PDP.cpp#L558-L574"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},"After startup announcements are exhausted and resendPeriod=30 s is verified, each observed announceParticipantState(false) closes the old generation and arms a new one. Stamp an observed next send with the stored logical deadline; retain actual callback time separately.",HYBRID
RTPS-DISC-02,remote_participant_default_lease_started,"A valid SPDP sample without PID_PARTICIPANT_LEASE_DURATION creates/renews an independent, non-privileged-dependent remote participant using 100 s.",domain + remote participant GUID prefix + SPDP sequence number; GUID is a field,"EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one lease generation for one independent remote participant; SPDP refresh emits supersession and opens another word, while explicit disposal emits cancellation.","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:1"", ""role"": ""default lease creation and SPDP refresh"", ""event_predicate"": ""A valid SPDP sample without PID_PARTICIPANT_LEASE_DURATION creates/renews an independent, non-privileged-dependent remote participant using 100 s."", ""instrumentation_timing"": ""Emit start only after the omitted PID is defaulted to 100 s and privileged/dependency postponement is excluded. A refresh/cancel closes this word. Emit lease-removal cause immediately before ddsi_delete_proxy_participant_by_guid; do not require a callback at exactly 100 s."", ""atomic_propositions"": [""remote_participant_default_lease_started"", ""remote_spdp_refresh_supersedes_lease""], ""repository"": ""eclipse-cyclonedds/cyclonedds"", ""commit"": ""2cdd114cbd18340c606573b4cc8dc20cc161ec5a"", ""path"": ""src/core/ddsi/src/q_ddsi_discovery.c"", ""symbol"": ""handle_spdp_alive"", ""lines"": ""723-981"", ""url"": ""https://github.com/eclipse-cyclonedds/cyclonedds/blob/2cdd114cbd18340c606573b4cc8dc20cc161ec5a/src/core/ddsi/src/q_ddsi_discovery.c#L723-L981"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}, {""mapping"": ""auxiliary:3"", ""role"": ""privileged participant lease exception"", ""event_predicate"": ""A valid SPDP sample without PID_PARTICIPANT_LEASE_DURATION creates/renews an independent, non-privileged-dependent remote participant using 100 s."", ""instrumentation_timing"": ""Emit start only after the omitted PID is defaulted to 100 s and privileged/dependency postponement is excluded. A refresh/cancel closes this word. Emit lease-removal cause immediately before ddsi_delete_proxy_participant_by_guid; do not require a callback at exactly 100 s."", ""atomic_propositions"": [""remote_participant_default_lease_started""], ""repository"": ""eclipse-cyclonedds/cyclonedds"", ""commit"": ""2cdd114cbd18340c606573b4cc8dc20cc161ec5a"", ""path"": ""src/core/ddsi/src/q_lease.c"", ""symbol"": ""check_and_handle_lease_expiration"", ""lines"": ""247-281"", ""url"": ""https://github.com/eclipse-cyclonedds/cyclonedds/blob/2cdd114cbd18340c606573b4cc8dc20cc161ec5a/src/core/ddsi/src/q_lease.c#L247-L281"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit start only after the omitted PID is defaulted to 100 s and privileged/dependency postponement is excluded. A refresh/cancel closes this word. Emit lease-removal cause immediately before ddsi_delete_proxy_participant_by_guid; do not require a callback at exactly 100 s.,HYBRID
RTPS-DISC-02,remote_participant_removed_due_to_lease,"Lease expiration, rather than explicit disposal or another cause, invokes deletion/reconfiguration for that proxy participant.",domain + remote participant GUID prefix + SPDP sequence number; GUID is a field,"EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one lease generation for one independent remote participant; SPDP refresh emits supersession and opens another word, while explicit disposal emits cancellation.","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""Lease expiration, rather than explicit disposal or another cause, invokes deletion/reconfiguration for that proxy participant."", ""instrumentation_timing"": ""Emit start only after the omitted PID is defaulted to 100 s and privileged/dependency postponement is excluded. A refresh/cancel closes this word. Emit lease-removal cause immediately before ddsi_delete_proxy_participant_by_guid; do not require a callback at exactly 100 s."", ""atomic_propositions"": [""remote_participant_removed_due_to_lease""], ""repository"": ""eclipse-cyclonedds/cyclonedds"", ""commit"": ""2cdd114cbd18340c606573b4cc8dc20cc161ec5a"", ""path"": ""src/core/ddsi/src/q_lease.c"", ""symbol"": ""check_and_handle_lease_expiration"", ""lines"": ""218-292"", ""url"": ""https://github.com/eclipse-cyclonedds/cyclonedds/blob/2cdd114cbd18340c606573b4cc8dc20cc161ec5a/src/core/ddsi/src/q_lease.c#L218-L292"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit start only after the omitted PID is defaulted to 100 s and privileged/dependency postponement is excluded. A refresh/cancel closes this word. Emit lease-removal cause immediately before ddsi_delete_proxy_participant_by_guid; do not require a callback at exactly 100 s.,HYBRID
RTPS-DISC-02,remote_spdp_refresh_supersedes_lease,A newer valid SPDP sample closes this lease generation and starts a separately projected 100 s generation.,domain + remote participant GUID prefix + SPDP sequence number; GUID is a field,"EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one lease generation for one independent remote participant; SPDP refresh emits supersession and opens another word, while explicit disposal emits cancellation.","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:1"", ""role"": ""default lease creation and SPDP refresh"", ""event_predicate"": ""A newer valid SPDP sample closes this lease generation and starts a separately projected 100 s generation."", ""instrumentation_timing"": ""Emit start only after the omitted PID is defaulted to 100 s and privileged/dependency postponement is excluded. A refresh/cancel closes this word. Emit lease-removal cause immediately before ddsi_delete_proxy_participant_by_guid; do not require a callback at exactly 100 s."", ""atomic_propositions"": [""remote_participant_default_lease_started"", ""remote_spdp_refresh_supersedes_lease""], ""repository"": ""eclipse-cyclonedds/cyclonedds"", ""commit"": ""2cdd114cbd18340c606573b4cc8dc20cc161ec5a"", ""path"": ""src/core/ddsi/src/q_ddsi_discovery.c"", ""symbol"": ""handle_spdp_alive"", ""lines"": ""723-981"", ""url"": ""https://github.com/eclipse-cyclonedds/cyclonedds/blob/2cdd114cbd18340c606573b4cc8dc20cc161ec5a/src/core/ddsi/src/q_ddsi_discovery.c#L723-L981"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit start only after the omitted PID is defaulted to 100 s and privileged/dependency postponement is excluded. A refresh/cancel closes this word. Emit lease-removal cause immediately before ddsi_delete_proxy_participant_by_guid; do not require a callback at exactly 100 s.,HYBRID
RTPS-DISC-02,remote_lease_generation_cancelled,A correlated SPDP dispose/unregister reaches handle_spdp_dead and deletes the proxy participant before lease expiry; domain shutdown is recorded only through its corresponding proxy-deletion lifecycle.,domain + remote participant GUID prefix + SPDP sequence number; GUID is a field,"EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one lease generation for one independent remote participant; SPDP refresh emits supersession and opens another word, while explicit disposal emits cancellation.","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:2"", ""role"": ""explicit SPDP dispose cancellation"", ""event_predicate"": ""A correlated SPDP dispose/unregister reaches handle_spdp_dead and deletes the proxy participant before lease expiry; domain shutdown is recorded only through its corresponding proxy-deletion lifecycle."", ""instrumentation_timing"": ""Emit start only after the omitted PID is defaulted to 100 s and privileged/dependency postponement is excluded. A refresh/cancel closes this word. Emit lease-removal cause immediately before ddsi_delete_proxy_participant_by_guid; do not require a callback at exactly 100 s."", ""atomic_propositions"": [""remote_lease_generation_cancelled""], ""repository"": ""eclipse-cyclonedds/cyclonedds"", ""commit"": ""2cdd114cbd18340c606573b4cc8dc20cc161ec5a"", ""path"": ""src/core/ddsi/src/q_ddsi_discovery.c"", ""symbol"": ""handle_spdp_dead"", ""lines"": ""638-671"", ""url"": ""https://github.com/eclipse-cyclonedds/cyclonedds/blob/2cdd114cbd18340c606573b4cc8dc20cc161ec5a/src/core/ddsi/src/q_ddsi_discovery.c#L638-L671"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit start only after the omitted PID is defaulted to 100 s and privileged/dependency postponement is excluded. A refresh/cancel closes this word. Emit lease-removal cause immediately before ddsi_delete_proxy_participant_by_guid; do not require a callback at exactly 100 s.,HYBRID
