property_id,atomic_proposition,event_predicate,correlation_key,projection_rule,monitor_instantiation,source_mappings,auxiliary_source_urls,instrumentation_timing,observability
COAP-MCAST-01,coap_multicast_response_committed_default_leisure,"The request arrived via multicast, the resource handler committed a response, delay suppression is off, and the default leisure queue path is selected.",incoming multicast request token + responder local endpoint + request generation + response queue node,correlate the committed response to one multicast request and responder before projecting; tokens and addresses remain fields,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""The request arrived via multicast, the resource handler committed a response, delay suppression is off, and the default leisure queue path is selected."", ""instrumentation_timing"": ""emit the trigger after the random delay is stored and coap_wait_ack inserts the multicast node; emit sent after the delayed write succeeds"", ""atomic_propositions"": [""coap_multicast_response_committed_default_leisure""], ""repository"": ""obgm/libcoap"", ""commit"": ""7cf7465b784baded4de183290c547d582becfd28"", ""path"": ""src/coap_net.c"", ""symbol"": ""handle_request"", ""lines"": ""3552-3604"", ""url"": ""https://github.com/obgm/libcoap/blob/7cf7465b784baded4de183290c547d582becfd28/src/coap_net.c#L3552-L3604"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},emit the trigger after the random delay is stored and coap_wait_ack inserts the multicast node; emit sent after the delayed write succeeds,HYBRID
COAP-MCAST-01,coap_multicast_response_sent,The queued unicast response for that requester token and responder endpoint is successfully written.,incoming multicast request token + responder local endpoint + request generation + response queue node,correlate the committed response to one multicast request and responder before projecting; tokens and addresses remain fields,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:1"", ""role"": ""delayed multicast response send"", ""event_predicate"": ""The queued unicast response for that requester token and responder endpoint is successfully written."", ""instrumentation_timing"": ""emit the trigger after the random delay is stored and coap_wait_ack inserts the multicast node; emit sent after the delayed write succeeds"", ""atomic_propositions"": [""coap_multicast_response_sent""], ""repository"": ""obgm/libcoap"", ""commit"": ""7cf7465b784baded4de183290c547d582becfd28"", ""path"": ""src/coap_net.c"", ""symbol"": ""coap_retransmit"", ""lines"": ""1908-1969"", ""url"": ""https://github.com/obgm/libcoap/blob/7cf7465b784baded4de183290c547d582becfd28/src/coap_net.c#L1908-L1969"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},emit the trigger after the random delay is stored and coap_wait_ack inserts the multicast node; emit sent after the delayed write succeeds,HYBRID
COAP-MID-01,coap_mid_first_used,A new outbound CON or NON generation first uses the tracked Message ID for one fixed local/remote endpoint pair.,local IP/port + remote IP/port + transport protocol + 16-bit Message ID; message generation distinguishes reuse from retransmission,"group by endpoint pair and Message ID, classify retransmissions as the existing generation, then project first-use/reuse APs","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""A new outbound CON or NON generation first uses the tracked Message ID for one fixed local/remote endpoint pair."", ""instrumentation_timing"": ""emit after a newly allocated MID is attached to a first-send PDU; the adapter retains endpoint-pair MID history for 247000 ms"", ""atomic_propositions"": [""coap_mid_first_used"", ""coap_same_mid_reused""], ""repository"": ""obgm/libcoap"", ""commit"": ""7cf7465b784baded4de183290c547d582becfd28"", ""path"": ""src/coap_net.c"", ""symbol"": ""coap_send_pdu"", ""lines"": ""1014-1050"", ""url"": ""https://github.com/obgm/libcoap/blob/7cf7465b784baded4de183290c547d582becfd28/src/coap_net.c#L1014-L1050"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}, {""mapping"": ""auxiliary:1"", ""role"": ""Message ID allocation prerequisite"", ""event_predicate"": ""A new outbound CON or NON generation first uses the tracked Message ID for one fixed local/remote endpoint pair."", ""instrumentation_timing"": ""emit after a newly allocated MID is attached to a first-send PDU; the adapter retains endpoint-pair MID history for 247000 ms"", ""atomic_propositions"": [""coap_mid_first_used"", ""coap_same_mid_reused""], ""repository"": ""obgm/libcoap"", ""commit"": ""7cf7465b784baded4de183290c547d582becfd28"", ""path"": ""src/coap_session.c"", ""symbol"": ""coap_new_message_id_lkd"", ""lines"": ""1909-1915"", ""url"": ""https://github.com/obgm/libcoap/blob/7cf7465b784baded4de183290c547d582becfd28/src/coap_session.c#L1909-L1915"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},emit after a newly allocated MID is attached to a first-send PDU; the adapter retains endpoint-pair MID history for 247000 ms,HYBRID
COAP-MID-01,coap_same_mid_reused,A distinct outbound message generation uses that same Message ID with the same endpoint pair before the window ends.,local IP/port + remote IP/port + transport protocol + 16-bit Message ID; message generation distinguishes reuse from retransmission,"group by endpoint pair and Message ID, classify retransmissions as the existing generation, then project first-use/reuse APs","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""A distinct outbound message generation uses that same Message ID with the same endpoint pair before the window ends."", ""instrumentation_timing"": ""emit after a newly allocated MID is attached to a first-send PDU; the adapter retains endpoint-pair MID history for 247000 ms"", ""atomic_propositions"": [""coap_mid_first_used"", ""coap_same_mid_reused""], ""repository"": ""obgm/libcoap"", ""commit"": ""7cf7465b784baded4de183290c547d582becfd28"", ""path"": ""src/coap_net.c"", ""symbol"": ""coap_send_pdu"", ""lines"": ""1014-1050"", ""url"": ""https://github.com/obgm/libcoap/blob/7cf7465b784baded4de183290c547d582becfd28/src/coap_net.c#L1014-L1050"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}, {""mapping"": ""auxiliary:1"", ""role"": ""Message ID allocation prerequisite"", ""event_predicate"": ""A distinct outbound message generation uses that same Message ID with the same endpoint pair before the window ends."", ""instrumentation_timing"": ""emit after a newly allocated MID is attached to a first-send PDU; the adapter retains endpoint-pair MID history for 247000 ms"", ""atomic_propositions"": [""coap_mid_first_used"", ""coap_same_mid_reused""], ""repository"": ""obgm/libcoap"", ""commit"": ""7cf7465b784baded4de183290c547d582becfd28"", ""path"": ""src/coap_session.c"", ""symbol"": ""coap_new_message_id_lkd"", ""lines"": ""1909-1915"", ""url"": ""https://github.com/obgm/libcoap/blob/7cf7465b784baded4de183290c547d582becfd28/src/coap_session.c#L1909-L1915"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},emit after a newly allocated MID is attached to a first-send PDU; the adapter retains endpoint-pair MID history for 247000 ms,HYBRID
COAP-TX-01,coap_con_wait_started,The initial CON PDU is sent and its per-exchange retransmission node is inserted into the send queue.,local endpoint + remote endpoint + transport protocol + Message ID + queue-node generation,correlate one CON exchange before projection; endpoint and Message ID values remain event fields and never enter AP names,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""The initial CON PDU is sent and its per-exchange retransmission node is inserted into the send queue."", ""instrumentation_timing"": ""emit the trigger after the node timeout and absolute queue deadline are committed; emit deadline-reached when monotonic time crosses that stored absolute deadline, not when the event-loop callback runs; emit discharge after queue removal"", ""atomic_propositions"": [""coap_con_wait_started"", ""coap_first_retransmit_deadline_reached""], ""repository"": ""obgm/libcoap"", ""commit"": ""7cf7465b784baded4de183290c547d582becfd28"", ""path"": ""src/coap_net.c"", ""symbol"": ""coap_calc_timeout / coap_wait_ack / coap_send_internal"", ""lines"": ""1123-1180;1883-1901"", ""url"": ""https://github.com/obgm/libcoap/blob/7cf7465b784baded4de183290c547d582becfd28/src/coap_net.c#L1123-L1180"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},"emit the trigger after the node timeout and absolute queue deadline are committed; emit deadline-reached when monotonic time crosses that stored absolute deadline, not when the event-loop callback runs; emit discharge after queue removal",HYBRID
COAP-TX-01,coap_first_retransmit_deadline_reached,"Monotonic time reaches the absolute first-retransmission deadline stored for this queue-node generation, independently of when the callback is dispatched.",local endpoint + remote endpoint + transport protocol + Message ID + queue-node generation,correlate one CON exchange before projection; endpoint and Message ID values remain event fields and never enter AP names,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""Monotonic time reaches the absolute first-retransmission deadline stored for this queue-node generation, independently of when the callback is dispatched."", ""instrumentation_timing"": ""emit the trigger after the node timeout and absolute queue deadline are committed; emit deadline-reached when monotonic time crosses that stored absolute deadline, not when the event-loop callback runs; emit discharge after queue removal"", ""atomic_propositions"": [""coap_con_wait_started"", ""coap_first_retransmit_deadline_reached""], ""repository"": ""obgm/libcoap"", ""commit"": ""7cf7465b784baded4de183290c547d582becfd28"", ""path"": ""src/coap_net.c"", ""symbol"": ""coap_calc_timeout / coap_wait_ack / coap_send_internal"", ""lines"": ""1123-1180;1883-1901"", ""url"": ""https://github.com/obgm/libcoap/blob/7cf7465b784baded4de183290c547d582becfd28/src/coap_net.c#L1123-L1180"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},"emit the trigger after the node timeout and absolute queue deadline are committed; emit deadline-reached when monotonic time crosses that stored absolute deadline, not when the event-loop callback runs; emit discharge after queue removal",HYBRID
COAP-TX-01,coap_matching_ack_or_reset_received,"coap_dispatch receives an ACK or RST whose endpoint and Message ID match the current exchange, and coap_remove_from_queue removes that exact queue-node generation.",local endpoint + remote endpoint + transport protocol + Message ID + queue-node generation,correlate one CON exchange before projection; endpoint and Message ID values remain event fields and never enter AP names,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:1"", ""role"": ""matching ACK/RST queue removal"", ""event_predicate"": ""coap_dispatch receives an ACK or RST whose endpoint and Message ID match the current exchange, and coap_remove_from_queue removes that exact queue-node generation."", ""instrumentation_timing"": ""emit the trigger after the node timeout and absolute queue deadline are committed; emit deadline-reached when monotonic time crosses that stored absolute deadline, not when the event-loop callback runs; emit discharge after queue removal"", ""atomic_propositions"": [""coap_matching_ack_or_reset_received""], ""repository"": ""obgm/libcoap"", ""commit"": ""7cf7465b784baded4de183290c547d582becfd28"", ""path"": ""src/coap_net.c"", ""symbol"": ""coap_dispatch"", ""lines"": ""3983-3993;4128-4133"", ""url"": ""https://github.com/obgm/libcoap/blob/7cf7465b784baded4de183290c547d582becfd28/src/coap_net.c#L3983-L3993"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},"emit the trigger after the node timeout and absolute queue deadline are committed; emit deadline-reached when monotonic time crosses that stored absolute deadline, not when the event-loop callback runs; emit discharge after queue removal",HYBRID
COAP-TX-01,coap_attempt_cancelled,An allowed non-ACK/RST local cancellation path removes the current queue-node generation before its stored deadline.,local endpoint + remote endpoint + transport protocol + Message ID + queue-node generation,correlate one CON exchange before projection; endpoint and Message ID values remain event fields and never enter AP names,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:2"", ""role"": ""explicit local exchange cancellation"", ""event_predicate"": ""An allowed non-ACK/RST local cancellation path removes the current queue-node generation before its stored deadline."", ""instrumentation_timing"": ""emit the trigger after the node timeout and absolute queue deadline are committed; emit deadline-reached when monotonic time crosses that stored absolute deadline, not when the event-loop callback runs; emit discharge after queue removal"", ""atomic_propositions"": [""coap_attempt_cancelled""], ""repository"": ""obgm/libcoap"", ""commit"": ""7cf7465b784baded4de183290c547d582becfd28"", ""path"": ""src/coap_net.c"", ""symbol"": ""coap_cancel_session_messages / coap_cancel_all_messages"", ""lines"": ""2573-2613;2616-2646"", ""url"": ""https://github.com/obgm/libcoap/blob/7cf7465b784baded4de183290c547d582becfd28/src/coap_net.c#L2573-L2613"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},"emit the trigger after the node timeout and absolute queue deadline are committed; emit deadline-reached when monotonic time crosses that stored absolute deadline, not when the event-loop callback runs; emit discharge after queue removal",HYBRID
COAP-TX-02,coap_first_retransmission_completed,The first retransmission for the correlated CON is written and retransmit_cnt becomes 1 before the next deadline is queued.,local endpoint + remote endpoint + transport protocol + Message ID + queue-node generation + retransmit_cnt,correlate one CON exchange and derive the cycle index from retransmit_cnt before projecting the fixed AP alphabet,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""The first retransmission for the correlated CON is written and retransmit_cnt becomes 1 before the next deadline is queued."", ""instrumentation_timing"": ""emit the trigger after retransmit_cnt increments and the next absolute deadline is committed; emit deadline-reached when monotonic time crosses that stored value, not when the callback runs"", ""atomic_propositions"": [""coap_first_retransmission_completed"", ""coap_second_retransmit_deadline_reached""], ""repository"": ""obgm/libcoap"", ""commit"": ""7cf7465b784baded4de183290c547d582becfd28"", ""path"": ""src/coap_net.c"", ""symbol"": ""coap_retransmit"", ""lines"": ""1908-1969"", ""url"": ""https://github.com/obgm/libcoap/blob/7cf7465b784baded4de183290c547d582becfd28/src/coap_net.c#L1908-L1969"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},"emit the trigger after retransmit_cnt increments and the next absolute deadline is committed; emit deadline-reached when monotonic time crosses that stored value, not when the callback runs",WHITEBOX
COAP-TX-02,coap_second_retransmit_deadline_reached,"Monotonic time reaches the next absolute deadline stored for the same queue-node generation after retransmit_cnt becomes 1, independently of callback dispatch.",local endpoint + remote endpoint + transport protocol + Message ID + queue-node generation + retransmit_cnt,correlate one CON exchange and derive the cycle index from retransmit_cnt before projecting the fixed AP alphabet,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""Monotonic time reaches the next absolute deadline stored for the same queue-node generation after retransmit_cnt becomes 1, independently of callback dispatch."", ""instrumentation_timing"": ""emit the trigger after retransmit_cnt increments and the next absolute deadline is committed; emit deadline-reached when monotonic time crosses that stored value, not when the callback runs"", ""atomic_propositions"": [""coap_first_retransmission_completed"", ""coap_second_retransmit_deadline_reached""], ""repository"": ""obgm/libcoap"", ""commit"": ""7cf7465b784baded4de183290c547d582becfd28"", ""path"": ""src/coap_net.c"", ""symbol"": ""coap_retransmit"", ""lines"": ""1908-1969"", ""url"": ""https://github.com/obgm/libcoap/blob/7cf7465b784baded4de183290c547d582becfd28/src/coap_net.c#L1908-L1969"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},"emit the trigger after retransmit_cnt increments and the next absolute deadline is committed; emit deadline-reached when monotonic time crosses that stored value, not when the callback runs",WHITEBOX
