"title","year","venue","doi_or_url","corpus_role","logic","time_domain","semantic_carrier","ta_role","rv_role","primary_domain","secondary_tags","sut_or_case","property_source","observation_or_adapter","artifact","metrics","evidence_tier","strict_mitl_mtl_case","application_count_included","evidence_locator","notes"
"Planning and Runtime Monitoring of Robotic Manipulator using MITL","2019","IEEE SysCon 2019","https://doi.org/10.1109/SYSCON.2019.8836933","core_semantic_audit","MITL for planning; LTL3 plus hybrid-model assertions at runtime","metric time in the planner; simulation time and discrete runtime observations in the monitor","planned timed trajectory; runtime hybrid state and event trace","MITL is translated to timed automata for planning only; the runtime safety monitor is an LTL3 finite-state monitor in Stateflow","online model and safety monitoring of an execution","robotics","manipulator; task planning; fault injection; Simulink","robotic-manipulator simulation with one nominal and four faulty executions","author-written task MITL and runtime safety requirements","MATLAB/Simulink model plus Stateflow model monitor and safety monitor","No public experiment artifact verified; author dissertation: https://api.drum.lib.umd.edu/server/api/core/bitstreams/5b0ebab5-ec87-46b8-9997-d201a7192795/content","5 reported experiments: 1 nominal and 4 injected faults; all 4 faulty executions detected","B","no","no","Author dissertation Chapters 2 and 3; Chapter 2 performs MITL-to-TA planning, whereas Chapter 3 describes the hybrid-model and LTL3 runtime monitors","Do not cite this paper as evidence of an MITL-to-TA runtime monitor; MITL and timed automata are used in the planning phase."
"Architectural Runtime Verification","2019","IEEE ICSA-C 2019","https://doi.org/10.1109/ICSA-C.2019.00021","core","Timed LTL with bounded interval syntax","timestamped discrete events in simulation traces","finite architectural event trace stored in a relational database","none; monitor synthesis produces SQL/LINQ queries rather than a timed automaton","offline runtime verification over traces produced by preceding simulation tests","automotive","AUTOSAR; hazard lights; indicators; software architecture; trace database","AUTOSAR indicator and hazard-light controller executed in a VEOS simulation","architectural requirement H3, including activation of both indicators within 200 ms","AUTOSAR RTE callbacks to a trace adapter and relational database","Author PDF: https://www.bodden.de/pubs/stockmann19architectural.pdf","No quantitative performance evaluation reported; paper presents an early feasibility evaluation across MariaDB, SQL Server, and Azure SQL","B","no","yes","Author PDF, requirements and evaluation sections; H3 states the 200 ms indicator response","Counted as an automotive timed-logic RV application, but not as a timed-automaton monitor or standard MITL case."
"Metric Interval Temporal Logic based Reinforcement Learning with Runtime Monitoring and Self-Correction","2020","American Control Conference 2020","https://doi.org/10.23919/ACC45564.2020.9147506","core","restricted MITL","integer action-step time","finite grid trajectory of positions, actions, propositions, and timestamps","a deterministic LTL3 monitor is augmented with clocks; this is a restricted construction rather than a general MITL-to-TA translation","online monitoring and subtask switching for self-correction during reinforcement learning","robotics","reinforcement learning; gridworld; self-correction; task planning","20 by 20 simulated gridworld with two obstacle scenarios","author-written timed visit-order tasks such as visiting regions within [5,10] and [8,15] steps","environment state and action sequence observed once per action step","Author PDF: https://johnbaras.com/wp-content/uploads/2020/10/201012-Paper-19-25-ACC-2020-09147506-1.pdf","Two simulation scenarios demonstrate runtime self-correction; no physical robot or hardware timing experiment","B","yes","yes","Author PDF, monitor-construction section and simulation section","The construction restricts formulas, for example one clock per atomic proposition and no general nested timed formula such as F_I G_J p."
"The Monitoring Problem for Timed Automata","2020","arXiv preprint","https://arxiv.org/abs/2002.07049","core_theory","timed automata","dense time with timestamped input symbols","streaming timed word","the property is a timed automaton and monitoring is streaming language membership","theoretical online-monitoring complexity analysis","theory","streaming algorithms; one-clock timed automata; complexity","no named system case","timed-automaton language membership","abstract input symbols and timestamps","Paper source only","For a fixed one-clock timed automaton, the paper derives amortized O(1) processing per symbol; no application benchmark was verified","D","no","no","Paper definitions and complexity theorems; no empirical application section","Included to represent the timed-automata monitoring theory line, not application evidence."
"Monitoring Timed Properties (Revisited)","2022","FORMATS 2022","https://doi.org/10.1007/978-3-031-15839-1_3","core_theory","MITL","real-valued nondecreasing timestamps with pointwise semantics","finite timed word, optionally with timestamp-uncertainty intervals","MITL and its complement are translated to timed Buchi automata; zones represent monitor states","online three-valued monitoring with timing uncertainty and minimum-time prediction","theory","MITL; zones; uncertainty; prediction; MoniTAal precursor","synthetic formula examples only","author-written MITL examples","abstract timed-event stream","Author PDF: https://people.cs.aau.dk/~mzi/publications/timedmonitoring.pdf","No implementation or system evaluation in this paper","D","no","no","Author PDF, formal semantics and conclusion; C++ and UPPAAL integration are explicitly future work","Pointwise event semantics uses real timestamps; it is not discrete-time semantics and it is not continuous-signal semantics."
"Distributed Runtime Verification of Metric Temporal Properties for Cross-Chain Protocols","2022","IEEE ICDCS 2022","https://doi.org/10.1109/ICDCS54860.2022.00012","core","MTL","integer physical/global time with bounded clock skew","partially ordered distributed computation represented by all monotone pointwise timed-word linearizations","none; formula progression and SMT encode all consistent traces under partial synchrony","centralized runtime monitoring of partially synchronous distributed executions","blockchain protocols","distributed systems; smart contracts; partial synchrony; clock skew; SMT","two-party swap, multi-party swap, and auction smart contracts on mocked Ethereum blockchains","liveness, safety, and hedging requirements from the cross-chain protocol design","Solidity events captured from Truffle/Ganache transaction logs; local timestamps interpreted with maximum skew epsilon","Author PDF: https://www.cse.msu.edu/tart/sites/default/files/publications/files/2022-07/main.pdf","1024, 4096, and 3888 generated log sets; runtime grows exponentially with clock skew and event rate in reported experiments","B","yes","yes","Author PDF Section II-B for MTL semantics and Section VI for UPPAAL and blockchain evaluations, especially Figure 6","The blockchains are mocked with Ganache; this is a strong protocol testbed, not a public-chain field deployment and not a timed-automaton monitor."
"Parametric Timed Pattern Matching","2023","ACM Transactions on Software Engineering and Methodology 32(1)","https://doi.org/10.1145/3517194","core","parametric timed automata","real-valued timed-word timestamps","finite event timed word","a parametric timed automaton is the pattern; IMITATOR and ParamMONAA compute matching parameter valuations and segments","online and offline parametric timed pattern matching","automotive","automatic transmission; parameter synthesis; Breach; Simulink; runtime pattern matching","automatic-transmission Simulink benchmark with Gear and Accel trace sets","author-written PTA patterns, including a g1-to-g2 delay parameter and discretized RPM/velocity patterns","Breach-generated signals are discretized into timed events before pattern matching","ParamMONAA experiment artifact: https://github.com/MasWag/ParamMONAA/blob/master/doc/NFM2019.md","Gear: 10 timed words of about 1467 to 14657 events; Accel: 10 timed words of about 2559 to 25137 events","B","no","yes","TOSEM experimental-evaluation section and linked ParamMONAA artifact","Count the 2023 journal version once; do not double-count its ICECCS 2018 and NFM 2019 predecessors."
"Runtime verification of self-adaptive multi-agent system using probabilistic timed automata","2023","Journal of Intelligent and Fuzzy Systems 45(6)","https://doi.org/10.3233/JIFS-232397","core_candidate_unresolved","probabilistic timed automata","timed probabilistic execution; exact time carrier not verified from accessible full text","multi-agent system states and probabilistic timing model","probabilistic timed automata support model checking and runtime quantitative verification","runtime quantitative verification for self-adaptation","automated parking","multi-agent systems; probabilistic verification; self-adaptation","intelligent unmanned parking system","system requirements, according to the publisher abstract","observation and instrumentation details not verified","No public artifact verified","Publisher abstract reports an approximately 21 percent improvement in normal operating time, but trace provenance and physical-versus-simulation status were not verified","U","no","no","Publisher DOI page and abstract only; full case-study provenance was not established in the audited material","Excluded from all application statistics until the complete experimental section is checked."
"SlackCheck: A Linux Kernel Module to Verify Temporal Properties of a Task Schedule","2024","ECRTS 2024","https://doi.org/10.4230/LIPIcs.ECRTS.2024.2","core","timed automaton encoding of a scheduling supply/slack property","continuous wall-clock timers between discrete scheduling events","Linux scheduler tracepoint event stream","a timed automaton with Tin and Tout timers implements the monitor state machine","online in-kernel runtime verification at each scheduling decision","real-time operating systems","Linux kernel; scheduling; temporal isolation; tracepoints; cyclictest","Linux task schedules under multiple scheduling classes and CPU-bound workloads on one to five cores","analytically derived service/supply lower-bound property","Linux Runtime Verification subsystem probes sched_switch events; trace-cmd and KernelShark support inspection","Official paper: https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ECRTS.2024.2","O(1) time and space per scheduling decision; cyclictest reports small average overhead, with a larger stressed maximum in the reported table","A","no","yes","Official paper, automaton definition, kernel implementation, and cyclictest evaluation sections","Strongest live-software execution in the corpus, but the property is encoded directly as a timed automaton rather than compiled from MITL."
"VSMoN: Runtime Monitoring Based Data-driven Remote Vital Sign Monitoring System","2024","Journal of Object Technology 2024(2)","https://www.jot.fm/issues/issue_2024_02/article4.pdf","core","healthcare policy DSL compiled to deterministic timed automata","finite metric-time event traces","finite timed words of vital-sign and policy events","the domain-specific policy is compiled into a deterministic timed automaton used by the runtime monitor","online monitoring in an end-to-end client-server system","healthcare","remote vital signs; mobile client; cloud; NoSQL; synthetic sensors","Java remote-vital-sign monitoring prototype","author-written healthcare policies in a domain-specific language","mobile/client-server data flow to cloud and NoSQL storage; sensor values generated by pseudorandom generators","Paper PDF; no separate public source repository verified","Experiments vary policy count and trace size up to 1 GB; the sensor stream is synthetic","B","no","yes","Paper data-generation and performance sections; the data paragraph explicitly states pseudorandom generation mimicking sensor readings","Evidence supports system feasibility, not clinical validity or deployment on real patients."
"A Formal Approach for Safe RL: Rate-Adaptive Pacemaker Case Study","2024","Runtime Verification 2024 / LNCS 15191 (published 2025)","https://doi.org/10.1007/978-3-031-74234-7_1","core","discrete timed automata safety policies","discrete time","closed-loop sequence of heart-model states and reinforcement-learning pacing actions","a discrete timed automaton is a runtime enforcer that corrects unsafe actions","online runtime enforcement rather than passive monitoring","healthcare","pacemaker; medical device; safe reinforcement learning; runtime enforcement; heart model","rate-adaptive pacemaker evaluated in closed loop with a real-time heart model exhibiting diseases","author-written pacemaker safety policies","closed-loop simulator connecting the RL controller, enforcer, and heart model","Public artifact: https://github.com/saferl605/Safe-RL","Compares traditional pacing, unprotected reinforcement learning, and enforced reinforcement learning; exact effect sizes were not extracted into this audit","B","no","yes","Springer case-study paper and public Safe-RL artifact","The experiment uses a heart model, not a patient or implanted-device hardware; the formalism is DTA enforcement, not MITL monitoring."
"Exploiting Assumptions for Effective Monitoring of Real-Time Properties Under Partial Observability","2024","SEFM 2024 / LNCS proceedings published 2025","https://doi.org/10.1007/978-3-031-77382-2_5","core","MITL with a timed-Buchi-automaton environment assumption","real-valued nondecreasing timestamps with pointwise semantics","partially observed timed word represented by event and time constraints, including unobservable events","the property is translated from MITL to a timed Buchi automaton; the assumption is another TBA; zones are explored by MoniTAal","online monitoring under partial observability and assumptions","synthetic industrial-process model","partial observability; assumptions; conveyor; zones; unobservable events","parameterized task sequence and a simulated conveyor-belt example","author-written MITL property and timed-automaton assumptions","random timed words and simulated partial observations with runs of unobservable events","Author PDF: https://people.cs.aau.dk/~mzi/publications/abmonitoring.pdf","For 5000 consecutive unobservable events, the reported maximum is about 32 ms; both evaluations are proof-of-concept synthetic cases","C","yes","no","Author PDF, experiment section for task-sequence and conveyor cases, and conclusion stating real-world case studies as future work","Do not reclassify autonomous vehicles, smart grids, or medical devices mentioned as motivation as evaluated domains."
"Monitoring Real-Time Systems Under Parametric Delay","2024","IFM 2024","https://doi.org/10.1007/978-3-031-76554-4_11","core","MITL","real-valued nondecreasing timestamps with pointwise semantics","timed event word observed through unknown latency and bounded jitter","MITL is translated to timed Buchi automata and monitored symbolically with zones in MoniTAal","online monitoring and active testing under parametric observation delay","automotive","gearbox; embedded controller; latency; jitter; active testing; MoniTAal","industrial gearbox-controller model created by Mecel","G(ReqNewGear -> F_[150,1205] NewGear)","model traces are assigned latency and random jitter; early and late errors are injected for testing","Extended author manuscript: https://people.cs.aau.dk/~mzi/publications/delayedmonitoring_arxiv.pdf","Up to 10000 events; reported classic, delayed, and testing response-time values remain below 300 microseconds in the experiment table","B","yes","yes","Extended manuscript, gearbox evaluation section, formal requirement, and performance table","Most direct recent precedent for TAFuzz: native discrete events, an MITL-to-TBA monitor, timing perturbations, and a named industrial model."
"Distributed Monitoring of Timed Properties","2024","arXiv preprint","https://arxiv.org/abs/2410.00465","core_theory","deterministic reachability timed automata","real-valued local timestamps with bounded clock skew","distributed local timed words with FIFO communication and possible cross-process event reorderings","the monitored property is a deterministic reachability timed automaton","theoretical distributed online monitoring","network security","distributed systems; clock skew; FIFO; event reordering; account login","illustrative private-enterprise and university network account-login scenario","author-written reachability timed automaton","local event streams and monitor messages under bounded clock skew","Paper source only","No implementation or quantitative experiment reported","D","no","no","Formal algorithms and conclusion; implementation and experiments on realistic models are stated as future work","The network example illustrates semantics but is not an evaluated deployment."
"From Timed Automata to Go: Formally Verified Code Generation and Runtime Monitoring for CPS","2025","IEEE Access 13","https://doi.org/10.1109/ACCESS.2025.3608215","core_candidate_unresolved","timed automata and location invariants","dense automaton clocks implemented with Go timers","execution of generated Go components and invariant-violation channels","the source timed automaton is transformed with violation sublocations and compiled through TADA to Go","online invariant monitoring and enforcement in generated code","industrial control","Go; code generation; CPS; invariant monitoring; legacy timing","industrial-control model is claimed; accessible excerpts also show a lamp model","timed-automaton location invariants","generated Go timers, time.After calls, and violation channels","DOI paper; no complete reproducible artifact verified in the audited material","Accessible material describes overhead as minimal but did not expose auditable numeric results or hardware provenance","U","no","no","DOI abstract and accessible author-manuscript excerpts only; full experiment and deployment details were not established","Exclude from application statistics until the complete paper and artifact establish the SUT, workload, and numerical overhead."
