"method_family","representative_work","year","formalism","input","output","automation","semantic_guarantee","evaluation_evidence","strengths","failures","tafuzz_role","primary_source","artifact","status_notes"
"Property Specification Patterns","Patterns in Property Specifications for Finite-State Verification","1999","LTL; CTL; QRE; GIL; INCA template mappings","Natural-language requirement plus a human-selected pattern, scope, and proposition bindings","An instantiated formal property in the selected target formalism","Human-guided template selection with deterministic instantiation","Each catalog entry has a precise intent and fixed formal mappings; correctness of choosing the pattern and grounding propositions remains a human responsibility","The authors surveyed more than 500 collected specifications and reported that most were pattern instances; they did not provide a controlled end-user correctness study","Small auditable vocabulary; deterministic generation; explicit scopes; strong source-to-formula traceability","Untimed base catalog; no automatic free-text interpretation; proposition grounding and uncommon requirements remain manual; template choice can be wrong","Use as the deterministic core of a TAFuzz-Req pattern compiler and as the manual gold baseline","https://doi.org/10.1145/302405.302672","https://matthewbdwyer.github.io/psp/","Primary publication and maintained catalog verified; foundational work outside the recent-review window"
"Real-time property patterns","Real-time Specification Patterns","2005","MTL; TCTL; RTGIL","Timing-dependent embedded-system requirement plus a human-selected scope and real-time category","Structured-English requirement and parameterized real-time temporal-logic formulas","Human-guided selection with deterministic template mapping","Predefined mappings give a precise meaning once a pattern is selected; the paper does not prove automatic interpretation of unrestricted prose","Patterns were derived from industrial automotive and appliance requirements and illustrated on a real automotive embedded-system example; no NL-to-formula precision or recall was reported","Adds duration, periodicity, and real-time ordering to qualitative patterns; close conceptual match to bounded protocol deadlines","Some templates use punctual or logic-specific constructs outside strict MITL; AP definitions and interval endpoint choices remain manual","Use as the timed template library, after restricting templates to the exact MightyPPL MITL/past/Pnueli grammar and timed-word semantics","https://doi.org/10.1145/1062455.1062526","https://matthewbdwyer.github.io/psp/","Publication verified; the PSP site links the real-time extension, but no standalone maintained compiler artifact was verified"
"Controlled natural language and verified templates","Automated Formalization of Structured Natural Language Requirements (FRET/FRETish)","2021","Future- and past-time metric LTL/MTL over finite and infinite traces; FRETish uses discrete natural-number trace indices","A FRETish requirement with scope, condition, component, timing, and response fields plus user-provided variable mappings","Temporal formulas, precise English explanation, diagrams, simulation artifacts, and verification-tool translations","Automatic after the author rewrites the requirement in FRETish and supplies model-variable mappings","Template semantics is grounded in RTGIL and checked by generated traces; a later PVS development proves equivalence between FRETish denotation and generated past-time MTL","Applied to the Lockheed Martin CPS challenge; the 2022 CPP work gives a machine-checked compositional correctness proof; this is evidence for the controlled-language compiler, not free-NL extraction accuracy","Strongest assurance among authoring approaches; compositional templates; explanations and simulation support human review","Not a free-text extractor; users initially need help; discrete step semantics and punctual intervals can differ from TAFuzz timestamped MITL; model/AP mappings are still manual","Reuse the field schema, explanations, and boundary-test idea; implement a smaller TAFuzz-specific CNL/compiler instead of accepting FRET output without a semantics adapter","https://doi.org/10.1016/j.infsof.2021.106590 ; https://doi.org/10.1145/3497775.3503685","https://github.com/NASA-SW-VnV/fret","Paper, proof, and official repository verified; direct semantic compatibility with MightyPPL must be established separately"
"Rule-based and dependency-NLP formalization","ARSENAL: Automatic Requirements Specification Extraction from Natural Language","2014","First-order logic; LTL; SAL transition-system models","Stylized, domain-specific natural-language requirements","Intermediate logical relations, FOL/LTL formulas, and analyzable SAL models","Automated pipeline after domain preprocessing and rule tuning","Downstream consistency, satisfiability, and realizability checks can reject some bad results, but there is no proof that extracted formulas preserve sentence meaning","Across 300 sentences, 112 were used to tune rules and 188 were held out; the reported NLP-stage F-measure on the held-out set was 0.63 (TTE 0.65, Eurail 0.58, GPCA 0.62, LTLMop 0.64)","Interpretable relations and rewrite rules; can exploit domain syntax; produces analyzable models rather than opaque embeddings","Dependency-parser failures can delete whole clauses; domain n-grams and preprocessing require maintenance; output is untimed LTL/FOL rather than MITL","Use only for candidate clause, actor, event, and AP extraction; never use its raw logical output as the TAFuzz oracle","https://arxiv.org/abs/1403.3142","Not independently verified","Primary technical report and metrics verified; a maintained official artifact was not verified"
"Interactive LLM translation","nl2spec: Interactively Translating Unstructured Natural Language to Temporal Logics with Large Language Models","2023","LTL in the evaluated benchmark; an STL example is provided as a proof of concept","One-sentence unstructured natural-language requirements and a declared atomic-proposition vocabulary","Temporal formula plus clause/subformula translations, alternatives, and confidence values","LLM-generated initial translation with iterative human editing of subtranslations","No semantic proof; correctness is established by expert judgment and interactive correction","On 36 expert-created difficult LTL instances, initial Codex accuracy was 44.4% with the minimal prompt and 58.3% with in-distribution examples; 15 of 20 initially wrong cases were corrected within at most three loops, averaging 1.86 loops","Makes ambiguity and local formula errors visible; human edits small subtranslations instead of rewriting a whole formula","Initial accuracy is insufficient for an unattended oracle; tiny one-sentence benchmark; model and prompt dependent; no demonstrated RFC-to-MITL grounding","Use its subtranslation interaction pattern for LLM-assisted IR completion and review, but compile accepted IR deterministically to MITL","https://doi.org/10.1007/978-3-031-37703-7_18","https://github.com/realChrisHahn2/nl2spec","Peer-reviewed paper, benchmark figures, and repository verified; evaluated evidence is primarily LTL, not MITL"
"Lifted neural/LLM translation","NL2TL: Transforming Natural Languages to Temporal Logics using Large Language Models","2023","Primarily lifted/full STL in the reported pipeline, with LTL-derived navigation data normalized into the target representation","English instructions, optionally separated into lifted logical structure and domain-specific atomic propositions","Lifted temporal-logic structure or grounded full STL","GPT-3-assisted corpus generation, expert correction, T5 fine-tuning, and a separate AP-recognition/grounding stage","No formal semantic guarantee; evaluation uses exact binary formula accuracy against annotated targets","The authors report about 28,000 NL-TL pairs; top-1 accuracy reached 97.52% on GPT-assisted test data and 90.12% on manual test data; human correction improved accuracy by about 10 percentage points","Correctly separates logical lifting from AP grounding; data-efficient domain adaptation; exposes grounding as an independent problem","Mostly synthetic or curated sentence distributions; exact-match scores do not prove RFC intent; target is STL rather than TAFuzz MITL; direct GPT accuracy drops with more APs","Use as design evidence for a two-stage lifted-pattern plus deterministic-AP-dictionary architecture, not as a drop-in translator","https://arxiv.org/abs/2305.07766","Not independently verified","Preprint and reported metrics verified; an official maintained code/data URL was not independently verified"
"Long-document LLM protocol-model extraction","PSMBench and RFC2PSM","2025","Machine-readable protocol state machines","1,580 pages of cleaned RFC text covering 14 protocols","Protocol states and transition graphs","Chunked RFC prompting evaluated across nine open and commercial LLMs","No formal semantic guarantee; 108 states and 297 transitions were manually validated and scoring allows structure-aware fuzzy partial matches","Best state extraction reached 0.82 F1, while transition extraction was at most 0.38 F1, demonstrating a large state-transition gap","Current, reproducible benchmark for long technical documents; directly measures state, transition, alias, and event/action extraction","Long-context reasoning, alias resolution, and coherent graph assembly remain weak; it extracts PSMs rather than temporal properties","Use as negative evidence against one-shot RFC-to-MITL generation and as a source of hard cases for section retrieval, coreference, and event/state dictionaries","https://proceedings.neurips.cc/paper_files/paper/2025/hash/521bd9583b3a39e92f662ee57e81e5ce-Abstract-Datasets_and_Benchmarks_Track.html","Official paper page links paper and supplemental material; standalone repository URL not independently verified","Peer-reviewed NeurIPS 2025 Datasets and Benchmarks work verified; adjacent evidence, not a MITL extractor"
"Hybrid RFC rule extraction and dynamic validation","ProtocolGuard: Detecting Protocol Non-compliance Bugs via LLM-guided Static Analysis and Dynamic Verification","2026","Structured normative-rule JSON, code slices, assertions, and executable protocol test seeds; not temporal logic","RFC specifications, RFC 2119 modal/comparison keywords, protocol terminology augmented by Wireshark dissectors, and implementation code","Context-complete rule records with request/response fields, rule-relevant code slices, assertions, and PoCs","Keyword candidate filtering plus LLM keyword expansion, section-level coreference/context completion, schema-constrained JSON, static analysis, and fuzzing","No rule-to-formula equivalence proof; suspected inconsistencies are checked by generated assertions, fuzzing, and manual review","Extracted 420 rules across 11 implementations of 6 protocols; reported 181 inconsistencies, 158 confirmed bugs, and 90.6% overall precision; on four manually adjudicated programs the mean precision/recall was 86.3%/81.3%","Closest evidence for a scalable public-RFC-to-fuzzing pipeline; preserves section context and uses dynamic validation instead of trusting LLM output","Authors report direct LLM rule extraction was inaccurate; callback/multi-transport code, long context, and LLM reasoning cause false positives/negatives; downstream bug metrics are not MITL extraction accuracy","Adopt its deterministic candidate retrieval and contextual structured IR; replace free-form assertion generation with a verified MITL template compiler and independent trace oracle","https://doi.org/10.14722/ndss.2026.240521","Artifact components are described in the paper appendix; public artifact URL not independently verified","Peer-reviewed primary source verified; rule count and bug results must not be presented as formula-translation accuracy"
"Domain-trained RFC information extraction","Automated Attack Synthesis by Extracting Finite State Machines from Protocol Specification Documents (RFCNLP)","2022","XML-tagged protocol-independent IR, finite-state machines, and Promela; attack properties are hand-written LTL","RFC prose for BGPv4, DCCP, LTP, PPTP, SCTP, and TCP","Tagged states, events, variables, timers, triggers, actions, control flow, and an extracted FSM","Technical-language pretraining, leave-one-protocol-out NeuralCRF/LinearCRF tagging, lexical matching, and rule-based IR-to-FSM construction","No end-to-end semantic guarantee; even gold text annotations can miss transitions that are implicit, absent, or outside the grammar","Phrase segmentation obtained 63.98 strict and 85.56 exact-boundary span scores; best NeuralCRF strict scores ranged from 57.34 to 87.34 by protocol; for TCP, 17 of 20 canonical transitions were recovered correctly or partially","Useful protocol-specific vocabulary and intermediate representation; explicitly models timers and control flow; tests zero-shot transfer to unseen protocols","Ambiguity and omitted RFC information produce partial FSMs; canonical properties still required expert hand-writing; noisy models can accidentally satisfy properties for the wrong reason","Reuse event/state/timer lexicons and section annotations for AP and scope extraction only; do not treat the extracted FSM as an MITL property set","https://doi.org/10.1109/SP46214.2022.9833673","https://github.com/RFCNLP","Peer-reviewed publication and organization repository verified; this is FSM extraction, not automated temporal-property extraction"
"Trace-based template mining","General LTL Specification Mining (Texada)","2015","LTL interpreted on finite event traces with a user-supplied property-type template","A log containing multiple totally ordered event traces and an LTL template whose propositions are variables","All event bindings whose instantiated LTL formula holds on every input trace","Automatic binding enumeration and optimized trace checking after a human supplies the template","Sound and complete with respect to the selected template, the observed log, and Texada's finite-trace convention; no guarantee that a mined invariant is a normative requirement","The evaluation reports operation on hundreds of traces with thousands of events per trace and that the map miner outperformed the specialized Synoptic miner in tested conditions; it does not report accuracy against intended requirements","Can discover recurring response/precedence relations and bind event names without free-text parsing; arbitrary LTL template structure","Missing behaviors create false properties; vacuous truth and hundreds of candidates complicate review; untimed LTL cannot recover deadline bounds; observed implementation bugs may be learned as normal","Use only as an offline candidate-discovery and AP-relation tool on labeled/replayed traces; every candidate must be reconciled with an RFC source before becoming an oracle","https://doi.org/10.1109/ASE.2015.71","Open-source Texada is stated in the paper; repository URL not independently re-verified","Peer-reviewed method and primary PDF verified; exact repository provenance remains to be checked before packaging"
