property_id,atomic_proposition,event_predicate,correlation_key,projection_rule,monitor_instantiation,source_mappings,auxiliary_source_urls,instrumentation_timing,observability
TCP-ACK-01,tcp_delayed_ack_obligation_started,A processed segment requires ACK and enters the delayed-ACK rather than immediate-ACK branch.,socket cookie + receive-direction sequence interval,"correlate first, then project one connection/transaction/flight; dynamic identifiers never enter AP names","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""A processed segment requires ACK and enters the delayed-ACK rather than immediate-ACK branch."", ""instrumentation_timing"": ""Emit the trigger immediately before sk_reset_timer; emit ACK after tcp_send_ack/output using the same socket cookie."", ""atomic_propositions"": [""tcp_delayed_ack_obligation_started""], ""repository"": ""torvalds/linux"", ""commit"": ""f4fb100039e96211609dfc44fb24b9e4a8a0f2f9"", ""path"": ""net/ipv4/tcp_output.c"", ""symbol"": ""tcp_send_delayed_ack"", ""lines"": ""4409-4463"", ""url"": ""https://github.com/torvalds/linux/blob/f4fb100039e96211609dfc44fb24b9e4a8a0f2f9/net/ipv4/tcp_output.c#L4409-L4463"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit the trigger immediately before sk_reset_timer; emit ACK after tcp_send_ack/output using the same socket cookie.,HYBRID
TCP-ACK-01,tcp_ack_sent,An ACK covering the correlated receive sequence is handed to IP output.,socket cookie + receive-direction sequence interval,"correlate first, then project one connection/transaction/flight; dynamic identifiers never enter AP names","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:1"", ""role"": ""pure ACK construction and transmission handoff"", ""event_predicate"": ""An ACK covering the correlated receive sequence is handed to IP output."", ""instrumentation_timing"": ""Emit the trigger immediately before sk_reset_timer; emit ACK after tcp_send_ack/output using the same socket cookie."", ""atomic_propositions"": [""tcp_ack_sent""], ""repository"": ""torvalds/linux"", ""commit"": ""f4fb100039e96211609dfc44fb24b9e4a8a0f2f9"", ""path"": ""net/ipv4/tcp_output.c"", ""symbol"": ""__tcp_send_ack"", ""lines"": ""4466-4506"", ""url"": ""https://github.com/torvalds/linux/blob/f4fb100039e96211609dfc44fb24b9e4a8a0f2f9/net/ipv4/tcp_output.c#L4466-L4506"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit the trigger immediately before sk_reset_timer; emit ACK after tcp_send_ack/output using the same socket cookie.,HYBRID
TCP-KA-01,tcp_default_keepalive_enabled_on_idle_connection,SO_KEEPALIVE becomes active with no per-socket keepidle override and no outstanding data.,network namespace + socket cookie,"correlate first, then project one connection/transaction/flight; dynamic identifiers never enter AP names","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""SO_KEEPALIVE becomes active with no per-socket keepidle override and no outstanding data."", ""instrumentation_timing"": ""Record enablement after tcp_set_keepalive arms the timer; emit probe only after tcp_write_wakeup succeeds."", ""atomic_propositions"": [""tcp_default_keepalive_enabled_on_idle_connection""], ""repository"": ""torvalds/linux"", ""commit"": ""f4fb100039e96211609dfc44fb24b9e4a8a0f2f9"", ""path"": ""include/net/tcp.h"", ""symbol"": ""TCP_KEEPALIVE_TIME"", ""lines"": ""175-180"", ""url"": ""https://github.com/torvalds/linux/blob/f4fb100039e96211609dfc44fb24b9e4a8a0f2f9/include/net/tcp.h#L175-L180"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}, {""mapping"": ""auxiliary:1"", ""role"": ""SO_KEEPALIVE enable and default timer arm"", ""event_predicate"": ""SO_KEEPALIVE becomes active with no per-socket keepidle override and no outstanding data."", ""instrumentation_timing"": ""Record enablement after tcp_set_keepalive arms the timer; emit probe only after tcp_write_wakeup succeeds."", ""atomic_propositions"": [""tcp_default_keepalive_enabled_on_idle_connection""], ""repository"": ""torvalds/linux"", ""commit"": ""f4fb100039e96211609dfc44fb24b9e4a8a0f2f9"", ""path"": ""net/ipv4/tcp_timer.c"", ""symbol"": ""tcp_set_keepalive"", ""lines"": ""768-777"", ""url"": ""https://github.com/torvalds/linux/blob/f4fb100039e96211609dfc44fb24b9e4a8a0f2f9/net/ipv4/tcp_timer.c#L768-L777"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Record enablement after tcp_set_keepalive arms the timer; emit probe only after tcp_write_wakeup succeeds.,HYBRID
TCP-KA-01,tcp_keepalive_probe_sent,tcp_write_wakeup emits a keep-alive probe for the correlated socket.,network namespace + socket cookie,"correlate first, then project one connection/transaction/flight; dynamic identifiers never enter AP names","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:2"", ""role"": ""keep-alive expiry and probe send attempt"", ""event_predicate"": ""tcp_write_wakeup emits a keep-alive probe for the correlated socket."", ""instrumentation_timing"": ""Record enablement after tcp_set_keepalive arms the timer; emit probe only after tcp_write_wakeup succeeds."", ""atomic_propositions"": [""tcp_keepalive_probe_sent""], ""repository"": ""torvalds/linux"", ""commit"": ""f4fb100039e96211609dfc44fb24b9e4a8a0f2f9"", ""path"": ""net/ipv4/tcp_timer.c"", ""symbol"": ""tcp_keepalive_timer"", ""lines"": ""779-866"", ""url"": ""https://github.com/torvalds/linux/blob/f4fb100039e96211609dfc44fb24b9e4a8a0f2f9/net/ipv4/tcp_timer.c#L779-L866"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Record enablement after tcp_set_keepalive arms the timer; emit probe only after tcp_write_wakeup succeeds.,HYBRID
TCP-R2-01,tcp_data_r2_episode_started,First retransmission timestamp is established for data in an established connection using default R2 policy.,network namespace + socket cookie + retransmission episode,"correlate first, then project one connection/transaction/flight; dynamic identifiers never enter AP names","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:1"", ""role"": ""first attempted data retransmission timestamp"", ""event_predicate"": ""First retransmission timestamp is established for data in an established connection using default R2 policy."", ""instrumentation_timing"": ""Emit start when retrans_stamp is first set; emit expiry immediately before tcp_write_err with state outside SYN_SENT/SYN_RECV and expired=true."", ""atomic_propositions"": [""tcp_data_r2_episode_started""], ""repository"": ""torvalds/linux"", ""commit"": ""f4fb100039e96211609dfc44fb24b9e4a8a0f2f9"", ""path"": ""net/ipv4/tcp_output.c"", ""symbol"": ""tcp_retransmit_skb"", ""lines"": ""3695-3717"", ""url"": ""https://github.com/torvalds/linux/blob/f4fb100039e96211609dfc44fb24b9e4a8a0f2f9/net/ipv4/tcp_output.c#L3695-L3717"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit start when retrans_stamp is first set; emit expiry immediately before tcp_write_err with state outside SYN_SENT/SYN_RECV and expired=true.,HYBRID
TCP-R2-01,tcp_closed_by_data_r2_expiry,tcp_write_timeout reports expired and tcp_write_err closes specifically because the data R2 threshold is reached.,network namespace + socket cookie + retransmission episode,"correlate first, then project one connection/transaction/flight; dynamic identifiers never enter AP names","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""tcp_write_timeout reports expired and tcp_write_err closes specifically because the data R2 threshold is reached."", ""instrumentation_timing"": ""Emit start when retrans_stamp is first set; emit expiry immediately before tcp_write_err with state outside SYN_SENT/SYN_RECV and expired=true."", ""atomic_propositions"": [""tcp_closed_by_data_r2_expiry""], ""repository"": ""torvalds/linux"", ""commit"": ""f4fb100039e96211609dfc44fb24b9e4a8a0f2f9"", ""path"": ""net/ipv4/tcp_timer.c"", ""symbol"": ""tcp_write_timeout"", ""lines"": ""242-305"", ""url"": ""https://github.com/torvalds/linux/blob/f4fb100039e96211609dfc44fb24b9e4a8a0f2f9/net/ipv4/tcp_timer.c#L242-L305"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit start when retrans_stamp is first set; emit expiry immediately before tcp_write_err with state outside SYN_SENT/SYN_RECV and expired=true.,HYBRID
TCP-RTO-01,tcp_initial_rto_armed_1000ms_profile,ICSK_TIME_RETRANS is actually armed with a 1000 ms absolute deadline and fallback/override branches are false.,"network namespace + socket cookie + 4-tuple; sequence numbers correlate ACKs but are fields, not AP names","correlate first, then project one connection/transaction/flight; dynamic identifiers never enter AP names","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""ICSK_TIME_RETRANS is actually armed with a 1000 ms absolute deadline and fallback/override branches are false."", ""instrumentation_timing"": ""Emit trigger from the timer-arm hook with deadline and generation; emit deadline independently of callback dispatch; emit superseded only when that generation is cancelled/rearmed."", ""atomic_propositions"": [""tcp_initial_rto_armed_1000ms_profile""], ""repository"": ""torvalds/linux"", ""commit"": ""f4fb100039e96211609dfc44fb24b9e4a8a0f2f9"", ""path"": ""include/net/tcp.h"", ""symbol"": ""TCP_TIMEOUT_INIT"", ""lines"": ""160-173"", ""url"": ""https://github.com/torvalds/linux/blob/f4fb100039e96211609dfc44fb24b9e4a8a0f2f9/include/net/tcp.h#L160-L173"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}, {""mapping"": ""auxiliary:1"", ""role"": ""initial RTO timer arm after active-open send"", ""event_predicate"": ""ICSK_TIME_RETRANS is actually armed with a 1000 ms absolute deadline and fallback/override branches are false."", ""instrumentation_timing"": ""Emit trigger from the timer-arm hook with deadline and generation; emit deadline independently of callback dispatch; emit superseded only when that generation is cancelled/rearmed."", ""atomic_propositions"": [""tcp_initial_rto_armed_1000ms_profile""], ""repository"": ""torvalds/linux"", ""commit"": ""f4fb100039e96211609dfc44fb24b9e4a8a0f2f9"", ""path"": ""net/ipv4/tcp_output.c"", ""symbol"": ""tcp_connect"", ""lines"": ""4393-4398"", ""url"": ""https://github.com/torvalds/linux/blob/f4fb100039e96211609dfc44fb24b9e4a8a0f2f9/net/ipv4/tcp_output.c#L4393-L4398"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit trigger from the timer-arm hook with deadline and generation; emit deadline independently of callback dispatch; emit superseded only when that generation is cancelled/rearmed.,HYBRID
TCP-RTO-01,tcp_initial_rto_deadline_reached,The absolute deadline of that exact retransmission-timer generation is reached.,"network namespace + socket cookie + 4-tuple; sequence numbers correlate ACKs but are fields, not AP names","correlate first, then project one connection/transaction/flight; dynamic identifiers never enter AP names","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:2"", ""role"": ""retransmission timer deadline dispatch"", ""event_predicate"": ""The absolute deadline of that exact retransmission-timer generation is reached."", ""instrumentation_timing"": ""Emit trigger from the timer-arm hook with deadline and generation; emit deadline independently of callback dispatch; emit superseded only when that generation is cancelled/rearmed."", ""atomic_propositions"": [""tcp_initial_rto_deadline_reached""], ""repository"": ""torvalds/linux"", ""commit"": ""f4fb100039e96211609dfc44fb24b9e4a8a0f2f9"", ""path"": ""net/ipv4/tcp_timer.c"", ""symbol"": ""tcp_write_timer_handler"", ""lines"": ""695-728"", ""url"": ""https://github.com/torvalds/linux/blob/f4fb100039e96211609dfc44fb24b9e4a8a0f2f9/net/ipv4/tcp_timer.c#L695-L728"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit trigger from the timer-arm hook with deadline and generation; emit deadline independently of callback dispatch; emit superseded only when that generation is cancelled/rearmed.,HYBRID
TCP-RTO-01,tcp_initial_rto_superseded,"A correlated ACK, loss-state change, or explicit timer restart/cancel replaces that exact timer generation.","network namespace + socket cookie + 4-tuple; sequence numbers correlate ACKs but are fields, not AP names","correlate first, then project one connection/transaction/flight; dynamic identifiers never enter AP names","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:3"", ""role"": ""ACK-driven retransmission timer cancellation or replacement"", ""event_predicate"": ""A correlated ACK, loss-state change, or explicit timer restart/cancel replaces that exact timer generation."", ""instrumentation_timing"": ""Emit trigger from the timer-arm hook with deadline and generation; emit deadline independently of callback dispatch; emit superseded only when that generation is cancelled/rearmed."", ""atomic_propositions"": [""tcp_initial_rto_superseded""], ""repository"": ""torvalds/linux"", ""commit"": ""f4fb100039e96211609dfc44fb24b9e4a8a0f2f9"", ""path"": ""net/ipv4/tcp_input.c"", ""symbol"": ""tcp_rearm_rto"", ""lines"": ""3524-3550"", ""url"": ""https://github.com/torvalds/linux/blob/f4fb100039e96211609dfc44fb24b9e4a8a0f2f9/net/ipv4/tcp_input.c#L3524-L3550"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit trigger from the timer-arm hook with deadline and generation; emit deadline independently of callback dispatch; emit superseded only when that generation is cancelled/rearmed.,HYBRID
TCP-RTO-03,tcp_second_rto_armed_2000ms_normal_backoff,"The normal non-linear, non-thin-stream branch doubles 1000 ms to 2000 ms and arms a new timer generation.",socket cookie + retransmission generation counter,"correlate first, then project one connection/transaction/flight; dynamic identifiers never enter AP names","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""The normal non-linear, non-thin-stream branch doubles 1000 ms to 2000 ms and arms a new timer generation."", ""instrumentation_timing"": ""After icsk_rto is doubled and tcp_reset_xmit_timer succeeds, emit the trigger with old/new RTO fields."", ""atomic_propositions"": [""tcp_second_rto_armed_2000ms_normal_backoff""], ""repository"": ""torvalds/linux"", ""commit"": ""f4fb100039e96211609dfc44fb24b9e4a8a0f2f9"", ""path"": ""net/ipv4/tcp_timer.c"", ""symbol"": ""tcp_retransmit_timer"", ""lines"": ""657-685"", ""url"": ""https://github.com/torvalds/linux/blob/f4fb100039e96211609dfc44fb24b9e4a8a0f2f9/net/ipv4/tcp_timer.c#L657-L685"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},"After icsk_rto is doubled and tcp_reset_xmit_timer succeeds, emit the trigger with old/new RTO fields.",WHITEBOX
