"property_id","protocol","source_ref","source_url","evidence_span","normative_level","candidate_class","requirement_summary","actor","scope_or_state","trigger","precondition","obligation_kind","required_or_forbidden_event","lower_bound","upper_bound","endpoint_kind","unit","repeat_count","stop_or_cancel_event","exception","parameter_origin","formula_template","guidance_beta_candidate","ap_bindings","observation_contract","expressibility_status","reviewer_1","reviewer_2","review_state","notes","formula_template_dialect","instantiated_mightyppl_formula","parser_status","semantic_relation","source_clause_id","formula_covers_clause","modal_token","modal_policy","normative_phi","observer_profile","monitor_horizon","formula_review_state","beta_review_state","evidence_model","tool_commit","formula_hash"
"COAP-4.2-INITIAL-RTO","CoAP","RFC 7252 §4.2","https://www.rfc-editor.org/rfc/rfc7252.html#section-4.2","paragraphs 4-5; timeout and counter algorithm","MUST for per-message state; algorithmic prose for timeout choice","needs_parameter","A new Confirmable message uses an initial timeout in [ACK_TIMEOUT, ACK_TIMEOUT*ACK_RANDOM_FACTOR]; expiry below MAX_RETRANSMIT causes retransmission and doubles the timeout.","CoAP sender","one Confirmable exchange","timer_expired(exchange_id)","retransmit_count < MAX_RETRANSMIT","bounded response plus parameter update","retransmit(exchange_id,count+1); set_timeout(2*old_timeout)","0","observer_delta","closed","ms","up to MAX_RETRANSMIT","received_ack; received_rst; application_cancel","sleep scheduling may make a specific retransmission late; implementation may catch up later","runtime configuration; RFC defaults are 2000 ms and factor 1.5","","","timer_expired(exchange_id); retransmit(exchange_id,count); ack(exchange_id); rst(exchange_id)","one monitor per endpoint+MID+token; timer hook is required; packet timestamps alone cannot reveal timer expiry or timeout updates","needs_parameter","PENDING","PENDING","needs_parameter","The formula covers the observable retransmission obligation, not correctness of the hidden doubled timer; observer_delta must be measured, not guessed.","NONE","","NOT_APPLICABLE","uncompiled_ir_only","COAP-4.2-INITIAL-RTO","No compiled formula; IR requires split/context/parameter review.","MUST(state); algorithm prose(schedule)","split_required","Maintain timeout/counter and follow the configured retransmission algorithm; no observer deadline is supplied by the RFC.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"COAP-4.2-SPACING-SPAN","CoAP","RFC 7252 §§4.2, 4.8.2","https://www.rfc-editor.org/rfc/rfc7252.html#section-4.2","§4.2 last paragraph; §4.8.2 MAX_TRANSMIT_SPAN equation","MUST","direct_after_instantiation","Successive retransmissions are at least ACK_TIMEOUT apart and the whole transmission sequence stays within MAX_TRANSMIT_SPAN.","CoAP sender","one Confirmable exchange","send_or_retransmit(exchange_id)","no ACK/RST/cancel","minimum separation and bounded absence","no retransmit too early; no retransmit after span","ACK_TIMEOUT","MAX_TRANSMIT_SPAN","lower open for forbidden repeat; upper open after allowed span","ms","MAX_RETRANSMIT","received_ack; received_rst; application_cancel","late retransmissions are permitted only while the entire sequence remains in the envelope","campaign manifest; MAX_TRANSMIT_SPAN derived from configured ACK_TIMEOUT, ACK_RANDOM_FACTOR, MAX_RETRANSMIT","G*(first_tx -> G_(MAX_TRANSMIT_SPAN,infty) !retransmit_same_exchange)","","first_tx(exchange_id); tx(exchange_id); retransmit(exchange_id)","packet direction plus endpoint/MID/token key; monotone timestamps; retransmissions must be deduplicated from unrelated exchanges","needs_context","PENDING","PENDING","needs_context","MAX_TRANSMIT_SPAN is 45 s only under RFC defaults; the catalog deliberately leaves it symbolic.","tafuzz_req_pseudocode_v1","","NOT_RUN_PSEUDOCODE","partial_clause_only","COAP-4.2-SPACING-SPAN","MAX_TRANSMIT_SPAN observable envelope only; minimum-spacing child clause not compiled","algorithm prose(min gap); MUST(envelope)","split_required","All transmissions of one Confirmable attempt remain inside configured MAX_TRANSMIT_SPAN; minimum-gap obligation must be split.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"COAP-4.2-CANCEL","CoAP","RFC 7252 §4.2","https://www.rfc-editor.org/rfc/rfc7252.html#section-4.2","paragraph 5; cancel on count limit or Reset; ACK means success","MUST/algorithmic","direct_with_observer_horizon","After ACK or Reset, or when the retry limit is reached on timeout, the current transmission attempt is canceled and must not retransmit again.","CoAP sender","one Confirmable exchange","received_ack_or_rst OR timer_expired_at_limit","matching exchange and still active","cancel plus future absence","attempt_canceled; no later retransmit for that exchange","0","EXCHANGE_LIFETIME","lower closed for cancel; absence interval lower open","ms","0 after cancellation","attempt_canceled","early application cancellation and separate response are permitted","runtime configuration; EXCHANGE_LIFETIME derived and recorded in manifest","G*(ack_or_rst_or_limit -> G_(0,infty) !retransmit_same_exchange)","","ack(exchange_id); rst(exchange_id); timeout_at_limit(exchange_id); canceled(exchange_id); retransmit(exchange_id)","requires a cancellation/state hook or a justified packet-level surrogate; carry exchange identity across events","needs_ap_binding","PENDING","PENDING","needs_ap_binding","Absence beyond the finite observation horizon cannot be concluded from a finite trace; phi and bad-prefix guidance must remain separate.","tafuzz_req_pseudocode_v1","","NOT_RUN_PSEUDOCODE","necessary_observable_condition_unproved","COAP-4.2-CANCEL","absence of same-exchange retransmission after ACK/RST/limit; internal cancellation notification not covered","algorithm prose; MAY early cancel","split_required","After matching ACK/RST or retry-limit termination, the same transmission attempt produces no further retransmission.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"COAP-4.7-NSTART","CoAP","RFC 7252 §4.7","https://www.rfc-editor.org/rfc/rfc7252.html#section-4.7","first two paragraphs; outstanding interactions limited to NSTART","MUST","requires_derived_ap","A client must not maintain more than NSTART simultaneous outstanding interactions with a server.","CoAP client/proxy","per destination endpoint","interaction_opened(server)","an earlier interaction remains outstanding","bounded concurrency safety","outstanding_count must not exceed NSTART","","","","","NSTART","interaction_closed_by_ack_or_response_or_expiry","configured congestion-control extensions may permit NSTART greater than the default 1","runtime configuration; RFC default NSTART=1","G* !outstanding_over_limit","","interaction_opened(key); interaction_closed(key); outstanding_over_limit(server)","observer must compute outstanding count with the RFC definition; plain Boolean APs do not quantify exchanges","needs_ap_binding","PENDING","PENDING","needs_ap_binding","This is a useful hard case: the source is normative but the monitor needs a stateful derived AP rather than a direct packet predicate.","tafuzz_req_pseudocode_v1","","NOT_RUN_PSEUDOCODE","equivalent_if_derived_ap_correct_unproved","COAP-4.7-NSTART","safety over a separately computed outstanding_over_limit AP","MUST","conformance_candidate_after_approval","Outstanding interactions to one server never exceed configured NSTART.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"COAP-4.8-DEFAULTS","CoAP","RFC 7252 §4.8 Table 2","https://www.rfc-editor.org/rfc/rfc7252.html#section-4.8","Table 2 default transmission parameters","default/RECOMMENDED consistency; not a standalone MUST timing obligation","hard_negative","ACK_TIMEOUT=2 s, ACK_RANDOM_FACTOR=1.5, MAX_RETRANSMIT=4 and NSTART=1 are defaults that may be configured.","deployment configuration","configuration","numeric timer term appears","none","parameter declaration","none","","","","","","","application-specific configuration is explicitly permitted","RFC default versus target build/runtime configuration","","","config_ack_timeout; config_ack_random_factor; config_max_retransmit; config_nstart","extract build and runtime configuration and record provenance; do not infer actual values from RFC defaults","unsupported_as_oracle","PENDING","PENDING","unsupported","A keyword-plus-number extractor would produce a false oracle here; this row is retained as a hard negative.","NONE","","NOT_APPLICABLE","not_an_oracle","COAP-4.8-DEFAULTS","No compiled formula; IR requires split/context/parameter review.","DEFAULT/RECOMMENDED","hard_negative","Parameter declaration only; no normative phi.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"COAP-4.8.2-EXCHANGE-LIFETIME","CoAP","RFC 7252 §§4.7, 4.8.2","https://www.rfc-editor.org/rfc/rfc7252.html#section-4.8.2","stop-expecting sentence and derived EXCHANGE_LIFETIME equation","descriptive protocol rule with derived parameter","needs_parameter","After EXCHANGE_LIFETIME a client stops expecting a response to an unacknowledged Confirmable request.","CoAP client","one Confirmable request exchange","first_tx_con_request","no ACK received","deadline/state transition","stop_expecting_response","EXCHANGE_LIFETIME","EXCHANGE_LIFETIME","punctual/derived","ms","1","received_ack","the algorithm for acknowledged CON or NON requests is not defined here","derived runtime configuration; default 247 s only under default assumptions","","","first_tx_con(exchange_id); ack(exchange_id); stop_expecting(exchange_id)","requires client-state hook; exact punctuality must account for timer resolution and timestamp uncertainty","unsupported_punctual_until_adapter","PENDING","PENDING","unsupported","Strict MITL generally excludes punctual intervals; use a documented tolerance interval or reject instead of silently widening it.","NONE","","NOT_APPLICABLE","uncompiled_ir_only","COAP-4.8.2-EXCHANGE-LIFETIME","No compiled formula; IR requires split/context/parameter review.","descriptive derived rule","needs_modal_review","Derived/punctual state rule pending endpoint and state-hook semantics.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"DTLS-5.8.1-TIMEOUT-RETX","DTLS 1.3","RFC 9147 §5.8.1","https://www.rfc-editor.org/rfc/rfc9147.html#section-5.8.1","WAITING exit case 1","state-machine requirement","needs_parameter","When the retransmit timer expires in WAITING, the implementation retransmits the flight, adjusts and rearms the timer, and returns to WAITING.","DTLS endpoint","one handshake/post-handshake flight state machine","retransmit_timer_expired(flight_id)","state=WAITING","bounded response plus state transition","retransmit_unacked_flight; rearm_timer; state_waiting","0","observer_delta","closed","ms","per expiry","complete_ack; next_flight","partial ACK changes the retransmitted subset","runtime timer plus measured hook-to-packet latency","","","waiting(flight_id); timer_expired(flight_id); retransmit_unacked(flight_id); timer_rearmed(flight_id)","one monitor per connection+epoch+flight/category; timer and state hooks required for full formula","needs_parameter","PENDING","PENDING","needs_parameter","Packet capture alone can observe retransmission but cannot prove timer expiry or rearming.","NONE","","NOT_APPLICABLE","uncompiled_ir_only","DTLS-5.8.1-TIMEOUT-RETX","No compiled formula; IR requires split/context/parameter review.","state-machine prose","needs_modal_review","Timeout transition and timer rearm are an atomic state-machine obligation pending a state-hook model.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"DTLS-5.8.1-COMPLETE-ACK","DTLS 1.3","RFC 9147 §§5.8.1, 7.2","https://www.rfc-editor.org/rfc/rfc9147.html#section-7.2","§5.8.1 complete-ACK transition; §7.2 cancellation MUST","MUST in §7.2","direct_with_observer_horizon","Once every message in a flight is acknowledged, all retransmissions of that flight are canceled.","DTLS sender","one flight","complete_ack(flight_id)","outstanding retransmission state exists","cancel and bounded future absence","cancel_retransmissions; no retransmit","0","campaign_observation_horizon","lower closed for cancellation; lower open for absence","ms","0","cancel_retransmissions","a responding record implicitly acknowledges the previous flight","campaign configuration and observer contract","G*(complete_or_implicit_ack -> G_(0,infty) !retransmit_same_flight)","","ack_record_numbers; responding_record; canceled(flight_id); retransmit(flight_id)","ACK coverage must be reconstructed from record numbers; implicit ACK and flight identity must be modeled","candidate","PENDING","PENDING","candidate","H is the finite campaign horizon, not a protocol deadline; the full safety property is stronger than any finite observation.","tafuzz_req_pseudocode_v1","","NOT_RUN_PSEUDOCODE","observable_refinement_unproved","DTLS-5.8.1-COMPLETE-ACK","observable no-retransmission effect only; internal cancel action not covered","MUST","conformance_candidate_after_approval","After complete or implicit acknowledgement, the same flight is never retransmitted again.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"DTLS-5.8.2-BACKOFF","DTLS 1.3","RFC 9147 §5.8.2","https://www.rfc-editor.org/rfc/rfc9147.html#section-5.8.2","timer-values paragraph","SHOULD","parameterized_anomaly","Without deployment-specific RTT information, use 1000 ms initially and double at each retransmission up to no less than 60 s.","DTLS endpoint","one retransmission state machine","flight_sent_or_retransmitted","no external RTT/profile override","timer schedule","next retransmission not before current timer; update timer","1000","60000 floor for cap","schedule-dependent","ms","unbounded until protocol-specific stop","complete_ack; next_flight","IoT and real-time profiles may use different values; RTT knowledge changes the rule","profile/runtime configuration; SHOULD not MUST","","","flight_send(flight_id,n); timer_value(flight_id,n); external_rtt_profile","timer hook plus declared profile and RTT source; timestamps require jitter interval","needs_parameter","PENDING","PENDING","needs_parameter","A SHOULD violation is an anomaly, not a conformance bug. A single constant 1000 ms oracle would ignore explicit exceptions.","NONE","","NOT_APPLICABLE","uncompiled_ir_only","DTLS-5.8.2-BACKOFF","No compiled formula; IR requires split/context/parameter review.","SHOULD","anomaly_only","Profile-dependent SHOULD-level timer schedule pending parameter instantiation.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
"DTLS-5.8.1-FINISHED-MSL","DTLS 1.3","RFC 9147 §5.8.1","https://www.rfc-editor.org/rfc/rfc9147.html#section-5.8.1","paragraph after state machine","MUST","needs_parameter","For at least twice the default MSL, a server in FINISHED must answer a retransmitted client final flight by retransmitting its ACK.","DTLS server","FINISHED state for one connection","receive_retransmitted_client_final_flight","elapsed_since_finished <= 2*MSL","bounded response","retransmit_ack","0","observer_delta","closed","ms","each matching retransmission","end of 2*MSL retention window","only server side and the client's final flight","RFC 793 default MSL plus measured observer delta","","","entered_finished(conn); recv_final_flight_retx(conn); send_ack_retx(conn)","connection/flight matching; server state hook; retention window clock starts at FINISHED entry","needs_parameter","PENDING","PENDING","needs_parameter","The response deadline is not specified; observer_delta is instrumentation latency, not an RFC value.","NONE","","NOT_APPLICABLE","uncompiled_ir_only","DTLS-5.8.1-FINISHED-MSL","No compiled formula; IR requires split/context/parameter review.","MUST","conformance_candidate_after_approval","Retain the FINISHED response behavior for 2*MSL and answer a matching final-flight retransmission; split retention and response obligations.","SEPARATE_FROM_NORMATIVE_PHI; see observation_contract","NOT_PART_OF_NORMATIVE_PHI","PENDING","NOT_PROPOSED","CLAUSE_LEVEL_ONLY; per-field evidence table and source hash PENDING","22ecff40d8c397cf658b1b6fe7fe32cc05458d23",""
