"method_id","method","year","venue","property_or_seed_input","analysis_seed_and_direction","program_representation","data_dependency","control_dependency","alias_or_object_sensitivity","interprocedural","async_lifecycle","metric_time_semantics","scope_generation","external_controllability","mutation_recipe","primary_output","published_evaluation","artifact_url","artifact_snapshot_status_2026_07_18","apples_to_apples_role","rift_pending_hypothesis","falsification_gate","portability_and_model_pack_status"
"ADGFUZZ","ADGFuzz","2026","NDSS 2026","No temporal property; assignment roots and leaf names","Backward intra-function text assignment expansion then leaf-name-to-input mapping","C++ source text parsed with Python regex","String-level assignment relation","No CFG/control dependence","No; member access flattened and type/instance lost","No; calls become synthetic names","No","No","No","Maps names to configuration/command/environment/RC categories but does not prove reachability","Input grouping only; no direction/path constraints","ADG leaf sets, MIS input groups, heuristic entropy","Paper reports 87 results and manual semantic checks of ADG-MIS pairs; these are not slice recall/causality metrics","local baseline/ADGFuzz","LOCAL_AUDITED_PARTIAL at 203fce3f4265241340ed62b9be90aec1da0afa37","Original parser smoke plus clearly labelled ADGFuzz-style AP-root baseline","H-RIFT-01; H-RIFT-02","RIFT binding gain <5 percentage points or any unmarked critical false negative rejects superiority claim","Porting requires rebuilding platform input/term dictionaries and injection/runtime glue; no core/model-pack contract"
"PGFUZZ","PGFuzz","2021","NDSS 2021","Manually authored MTL policies decomposed to terms","Forward from known configuration-parameter import variables to term-like variable names; dynamic mapping for commands/environment","LLVM IR plus manuals and SITL state traces","SSA def-use; recursive load/store","Not a unified control-dependence slice","Andersen points-to; paper states interprocedural path-insensitive flow-sensitive","Yes for parameter value flow","Input prerequisite relationships mainly found by dynamic pair experiments; no unified timer/callback/queue model","MTL bounds; unknown k empirically calibrated with repeated simulation, not source-level clock dependency","No object/session generation model","Explicit InputP/InputC/InputE maps, partly manual/dynamic","Value direction guided by propositional distance; policy-specific input maps and prerequisites","Input-policy maps and policy distance feedback","56 policies across ArduPilot/PX4/Paparazzi; 156 reported findings","https://github.com/purseclab/PGFuzz","RUNTIME_PARTIAL_STATIC_MISSING at local 7eaebf21116087249b8329d4ba7337a24a34ecb9","Released maps as silver standard; paper-description reimplementation must be labelled PGFuzz-style-SVF","H-RIFT-03; H-RIFT-05; H-RIFT-09","Top-5 actionable precision improvement <10pp or manual effort not reduced rejects stated gains","Paper prescribes six manual porting steps including synonym/source maps and predicates; no declarative reusable model-pack boundary"
"MOONSHINE","MoonShine","2018","USENIX Security 2018","Concrete syscall traces and per-call coverage; no temporal property","Explicit trace dependency by matching returned and argument type/value; implicit upstream closure when WRITE_deps intersects downstream conditional READ_deps","Dynamic syscall trace plus Smatch AST hooks on Linux kernel C","Explicit result-to-argument and shared struct.field write/read","Conditional reads approximate control-relevant shared state","Struct.field sensitive only; no instance precision; alias can be missed","Across reachable syscall implementation; process-parent explicit resource inheritance","No inter-thread dependency; recursive operation ordering in one trace/process tree","No metric temporal logic","No instance generation; original trace order retained","System calls and arguments are controllable within existing traces","Preserves prerequisite syscall sequence; no AP-specific direction or timing recipe","Distilled ordered syscall seed programs","2.9M calls to 16,442 calls with 86.8% immediate coverage recovery; 13% reported fuzz coverage gain","https://github.com/shankarapailoor/moonshine","AVAILABLE_LEGACY_NOT_YET_REPRODUCED at 95e5f6dfd2760a9d763fc2bc90623c9e1e74e804","Original mlockall-msync reproduction plus clearly labelled MoonShine-RW adaptation","H-RIFT-04; H-RIFT-05","If object/scope model does not reduce same-field false positives or loses critical W-R dependencies, hypothesis is not supported","README limits implementation to Linux Syzkaller/strace environment; syscall semantics are embedded rather than external model packs"
"LTLFUZZER","LTL-Fuzzer","2022","ICSE 2022","Manually translated LTL and manual <location,proposition,predicate> tuples","Automaton chooses progressive AP and corresponding manually supplied source target; AFLGo CFG distance guides execution","C/C++ source and AFL/LLVM instrumentation plus Büchi automaton","AP aliases/update locations considered, but no AP-to-external-input value-flow product","CFG distance to AP target","Not an object-sensitive AP influence analysis","Program-level instrumentation","Event order through Büchi automaton; no source timer/callback dependency extraction","LTL event order, not metric time zones","No scope/generation binding in tuple","Fuzzer mutates program inputs but static stage does not explain which field controls AP","Prefix reuse and AP target selection; no source-derived direction recipe","Counterexample-oriented prefixes and AP events","50 manually extracted LTL properties; 15 reported new bugs; public dataset/tool","https://doi.org/10.5281/zenodo.5420327","PARTIAL_BUILD_AND_IMPORT_PASS_SMOKE_PENDING at official commit 716ac301fa3a8ea39814bc80eeebba49c19c1378; 18 core targets and AFLGo built; importer resolved RERS 46/46; Telnet 3 blocked by missing gitlink","Manual AP tuple oracle and automaton-guidance baseline","H-RIFT-01; H-RIFT-06; H-RIFT-08","If automatic binding is not close to manual tuple oracle or residual/frontier guidance improves AP flip time <1.2x, claims fail","C/C++ front end is broad but each property requires manual location/predicate tuples; no project model-pack portability metric"
"PROTOCOLGUARD","ProtocolGuard","2026","NDSS 2026","Extracted protocol rule fields/types and LLM-selected handler variables","Message receive graph and rule-oriented interprocedural forward slice; AST completion and LLM pruning","Whole-program LLVM IR, Clang AST, SVF call targets, LLM context","LLVM def-use forward slicing","AST restores branch/return/break/goto context rather than a full published PDG proof","SVF indirect-call over-approximation; deep field flows can break","Yes along handler/message call graph","Known weakness for callback/decoupled cleanup/send paths","No MITL or metric clock-zone semantics","No explicit session/generation schema in rule JSON","Generates tests after inconsistency detection, not a general AP controllable frontier","LLM counterexample/assertion/test generation; no typed mutation-direction certificate","Rule-related code slice, inconsistency, assertion and directed target","11 C implementations; reported precision/triggerability metrics in paper","https://github.com/songxpu/ProtocolGuard","PUBLISHED_ARTIFACT_INCOMPLETE_UNRUNNABLE; GitHub HEAD ecaf41613ff4e59979ddd9d1862058d82b1545ce lacks static pass sources","Subjects/data plus clearly labelled ProtocolGuard-style handler slice only","H-RIFT-02; H-RIFT-05","If meet-in-the-middle/async model cannot recover decoupled gold paths without property-specific edges, hypothesis fails","Handler/config identification is project-specific and artifact incomplete; no validated core/model-pack separation"
"FGS","Fast Graph Simplification through Tempo-Spatial Multi-Point Slicing","2024","FSE 2024","Finite-state typestate automaton and LLVM IR","Path-insensitive over-approximate multi-point marker sequences then temporal-path and spatial PDG slicing intersection","LLVM IR with SVF ICFG, PDG and call graph","PDG data dependencies around markers","PDG control dependencies and temporal execution paths","Uses underlying SVF/alias analysis; not a business object/scope binder","Yes","General ICFG/call contexts but no property-level timer/queue lifecycle model","Temporal means typestate operation ordering; no MITL metric zone/deadline semantics","No transaction/session generation","No external fuzz-input frontier","No mutation recipe","Simplified ICFG for path-sensitive typestate analysis","846 NIST programs and 10 real projects; paper reports 89% node, 86% edge, 88% context reduction, 116x speedup and 93% memory reduction versus ESP","https://doi.org/10.5281/zenodo.12770067","BLOCKED_UPSTREAM_ARTIFACT_UNAVAILABLE; Docker Hub repository API returned 404 and OCI registry latest manifest returned 401; smoke and NIST-846 not run","Original artifact reproduction and optional AP-marker adapter with provenance","H-RIFT-06; H-RIFT-07","RIFT cannot claim novel property-directed slicing; if residual/task semantics add no measured value beyond FGS/plain slice, main distinction fails","General LLVM bitcode plus automaton interface is portable across C/C++ projects; client automata remain external but no RIFT framework model-pack question"
"PLAIN_PDG","Plain Program Dependence Graph backward slice","baseline","LLVM/DG baseline","AP sink supplied manually or by common binder","Backward closure over data and control dependencies","LLVM IR instruction/basic-block dependence graph","Yes","Yes","Depends on selected AA; no mandated object/scope identity","Depends on implementation; must be fixed for experiment","No unless explicitly modelled","No","No","No classification of external controllability","No","Program dependency slice","No single published result; evaluator baseline must be implemented on same graph core","https://llvm.org/docs/DependenceGraphs/","CONCEPTUAL_BASELINE_IMPLEMENTATION_REQUIRED","Same RIFT graph core in data+control-only mode","H-RIFT-02; H-RIFT-03","If RIFT precision/actionability does not exceed plain PDG while preserving recall, only feature-extension claim remains","Generic graph core is portable, but framework/event semantics require a separately defined extension interface"
"MEMORYSSA","LLVM MemorySSA","baseline","LLVM infrastructure","Memory operation criterion inside one function","Use-def/def-use memory version and clobber queries","LLVM IR virtual memory SSA","Memory may-def/may-use via AA-backed walker","No standalone control dependence","Precision depends on alias-analysis stack","No; official implementation is intraprocedural","No","No","No","No","No","Memory access/clobber chain","Compiler infrastructure, not an AP-fuzz benchmark method","https://llvm.org/docs/MemorySSA.html","LIBRARY_AVAILABLE_BASELINE_NOT_YET_IMPLEMENTED on LLVM 18","Intra-procedural memory-only evidence baseline","Evidence layer only","No direct superiority claim; cross-procedure result attributed to added call/value-flow model, not MemorySSA replacement","Compiler-generic and project-independent; no model pack or application semantics"
"SVF","SVF","3.2","CC 2016 framework; current release baseline","LLVM values/memory objects and client-supplied source/sink","Interprocedural pointer/value-flow analyses and ICFG/VFG traversal","Whole-program LLVM IR","Yes","Available through client graph/analysis, not AP-aware by itself","Field/object/context sensitivity depends on selected analysis configuration","Yes","MTA/framework support exists but no RIFT-specific timer/callback/scope semantics by default","No MITL residual/clock zone","No domain scope generation by default","No external controllability classification by default","No","Value-flow/pointer/call graph facts","Framework used by PGFuzz/ProtocolGuard/FGS; client metrics vary","https://github.com/SVF-tools/SVF/releases/tag/SVF-3.2","AVAILABLE_VERSION_PINNED_NOT_YET_BUILT at 197a6590bd9c695a9c3daf52622dea912ef9a002","Strong interprocedural value-flow baseline with common AP seeds","H-RIFT-03; H-RIFT-05","If RIFT adds no actionable precision/async recall beyond SVF under same seeds, task-semantic advantage is not supported","Compiler-generic reusable library; application clients/models are external but SVF does not prescribe RIFT pack schema"
"RIFT","Residual-Conditioned Influence Frontier for Temporal-Property Fuzzing","planned","TAFuzz research prototype","Typed MITL Property IR with jointly bound trigger/response/cancel/state/guard/bound/clock/scope roles","Conservative AP backward cone, external frontier detection, source-to-sink confirmation, residual-conditioned ranking","Planned Clang 18 semantic index plus LLVM 18, SVF 3.2, Z3 and framework models","Planned SSA/MemorySSA/value-flow","Planned control/guard/exception-return dependencies","Planned object/field/call-context/scope/generation identity; all precision claims pending","Planned interprocedural","Planned timer/callback/queue/scheduler/lifecycle edges","Planned MITL residual, clock-zone and dynamic-bound relevance for ranking only","Planned session/process/object generation schema","Planned channel/field/parameter/environment classification","Planned direction, prerequisite, timing and sequence recipes with UNKNOWN fallback","Planned influence cone, controllable frontier, mutation recipes and evidence certificate","No implementation result at M0; all advantages are PENDING","local planned src/StaticAnalysis","NOT_IMPLEMENTED_AT_M0","Method under test","H-RIFT-01 through H-RIFT-10 are all PENDING","Any unmarked critical false negative, unfair baseline, changed evaluator, unsupported effect threshold, project-specific core change, or reliance on property-specific hand edges invalidates corresponding claim","H-RIFT-10 PENDING: core accepts only Property IR+compile DB+generic graph+pack interface; all libcoap/MQTT/MAVLink/ArduPilot rules external; success requires >=3 independent C/C++ projects with zero core diff and accuracy gates retained"
