property_id,atomic_proposition,event_predicate,correlation_key,projection_rule,monitor_instantiation,source_mappings,auxiliary_source_urls,instrumentation_timing,observability
OPCUA-PUB-01,publish_request_queued_timeout_hint_5000,Service_Publish queues a request whose RequestHeader.timeoutHint equals 5000 ms.,Session + Publish requestId; requestId remains an event field,"EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one queued Publish request; normal response, Session close, or request cancellation ends that request generation without creating another trigger in the same word.","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:1"", ""role"": ""Publish timeoutHint deadline and queue"", ""event_predicate"": ""Service_Publish queues a request whose RequestHeader.timeoutHint equals 5000 ms."", ""instrumentation_timing"": ""Record queue time/maxTime at the fixed Service_Publish producer; emit Bad_Timeout immediately before sendResponse at lines 441-447 using actual monotonic time."", ""atomic_propositions"": [""publish_request_queued_timeout_hint_5000""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""src/server/ua_services_subscription.c"", ""symbol"": ""Service_Publish"", ""lines"": ""304-315"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/src/server/ua_services_subscription.c#L304-L315"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Record queue time/maxTime at the fixed Service_Publish producer; emit Bad_Timeout immediately before sendResponse at lines 441-447 using actual monotonic time.,HYBRID
OPCUA-PUB-01,publish_bad_timeout,The server sends a PublishResponse with serviceResult Bad_Timeout for that requestId.,Session + Publish requestId; requestId remains an event field,"EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one queued Publish request; normal response, Session close, or request cancellation ends that request generation without creating another trigger in the same word.","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""The server sends a PublishResponse with serviceResult Bad_Timeout for that requestId."", ""instrumentation_timing"": ""Record queue time/maxTime at the fixed Service_Publish producer; emit Bad_Timeout immediately before sendResponse at lines 441-447 using actual monotonic time."", ""atomic_propositions"": [""publish_bad_timeout""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""src/server/ua_subscription.c"", ""symbol"": ""UA_Subscription_publish"", ""lines"": ""427-452"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/src/server/ua_subscription.c#L427-L452"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Record queue time/maxTime at the fixed Service_Publish producer; emit Bad_Timeout immediately before sendResponse at lines 441-447 using actual monotonic time.,HYBRID
OPCUA-SC-01,security_token_issued_default_lifetime,OpenSecureChannel response installs a token whose revisedLifetime is 600000 ms.,"client connection + SecureChannelId + current tokenId; tokenId is an event field, never an AP suffix","EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Correlate by channel/token; only revisedLifetime=600000 enters this property. Close on successful renewal, channel close, explicit cancellation, or expiry.","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""OpenSecureChannel response installs a token whose revisedLifetime is 600000 ms."", ""instrumentation_timing"": ""Record token installation and nextChannelRenewal at lines 560-565; record RENEW only after UA_SecureChannel_sendAsymmetricOPNMessage succeeds at lines 625-640. Store logical threshold/expiry and actual send time separately."", ""atomic_propositions"": [""security_token_issued_default_lifetime"", ""security_token_generation_cancelled""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""src/client/ua_client_connect.c"", ""symbol"": ""processOPNResponse"", ""lines"": ""495-589"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/src/client/ua_client_connect.c#L495-L589"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}, {""mapping"": ""auxiliary:3"", ""role"": ""600000 ms client lifetime profile"", ""event_predicate"": ""OpenSecureChannel response installs a token whose revisedLifetime is 600000 ms."", ""instrumentation_timing"": ""Record token installation and nextChannelRenewal at lines 560-565; record RENEW only after UA_SecureChannel_sendAsymmetricOPNMessage succeeds at lines 625-640. Store logical threshold/expiry and actual send time separately."", ""atomic_propositions"": [""security_token_issued_default_lifetime""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""plugins/ua_config_default.c"", ""symbol"": ""UA_ClientConfig_setDefault"", ""lines"": ""1115-1118"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/plugins/ua_config_default.c#L1115-L1118"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Record token installation and nextChannelRenewal at lines 560-565; record RENEW only after UA_SecureChannel_sendAsymmetricOPNMessage succeeds at lines 625-640. Store logical threshold/expiry and actual send time separately.,HYBRID
OPCUA-SC-01,secure_channel_renew_requested,An OpenSecureChannelRequest with requestType=RENEW is handed to the channel send path.,"client connection + SecureChannelId + current tokenId; tokenId is an event field, never an AP suffix","EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Correlate by channel/token; only revisedLifetime=600000 enters this property. Close on successful renewal, channel close, explicit cancellation, or expiry.","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:1"", ""role"": ""RENEW OpenSecureChannelRequest send"", ""event_predicate"": ""An OpenSecureChannelRequest with requestType=RENEW is handed to the channel send path."", ""instrumentation_timing"": ""Record token installation and nextChannelRenewal at lines 560-565; record RENEW only after UA_SecureChannel_sendAsymmetricOPNMessage succeeds at lines 625-640. Store logical threshold/expiry and actual send time separately."", ""atomic_propositions"": [""secure_channel_renew_requested""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""src/client/ua_client_connect.c"", ""symbol"": ""sendOPNAsync"", ""lines"": ""593-646"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/src/client/ua_client_connect.c#L593-L646"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Record token installation and nextChannelRenewal at lines 560-565; record RENEW only after UA_SecureChannel_sendAsymmetricOPNMessage succeeds at lines 625-640. Store logical threshold/expiry and actual send time separately.,HYBRID
OPCUA-SC-01,secure_channel_closed,The correlated SecureChannel closes before renewal and discharges this window.,"client connection + SecureChannelId + current tokenId; tokenId is an event field, never an AP suffix","EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Correlate by channel/token; only revisedLifetime=600000 enters this property. Close on successful renewal, channel close, explicit cancellation, or expiry.","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:2"", ""role"": ""SecureChannel close lifecycle"", ""event_predicate"": ""The correlated SecureChannel closes before renewal and discharges this window."", ""instrumentation_timing"": ""Record token installation and nextChannelRenewal at lines 560-565; record RENEW only after UA_SecureChannel_sendAsymmetricOPNMessage succeeds at lines 625-640. Store logical threshold/expiry and actual send time separately."", ""atomic_propositions"": [""secure_channel_closed""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""src/client/ua_client_connect.c"", ""symbol"": ""closeSecureChannel"", ""lines"": ""2198-2236"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/src/client/ua_client_connect.c#L2198-L2236"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Record token installation and nextChannelRenewal at lines 560-565; record RENEW only after UA_SecureChannel_sendAsymmetricOPNMessage succeeds at lines 625-640. Store logical threshold/expiry and actual send time separately.,HYBRID
OPCUA-SC-01,security_token_generation_cancelled,A later successful processOPNResponse replaces the correlated current token with a new token before this generation's renewal-request observation; the adapter closes the old token generation at that replacement.,"client connection + SecureChannelId + current tokenId; tokenId is an event field, never an AP suffix","EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Correlate by channel/token; only revisedLifetime=600000 enters this property. Close on successful renewal, channel close, explicit cancellation, or expiry.","one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""A later successful processOPNResponse replaces the correlated current token with a new token before this generation's renewal-request observation; the adapter closes the old token generation at that replacement."", ""instrumentation_timing"": ""Record token installation and nextChannelRenewal at lines 560-565; record RENEW only after UA_SecureChannel_sendAsymmetricOPNMessage succeeds at lines 625-640. Store logical threshold/expiry and actual send time separately."", ""atomic_propositions"": [""security_token_issued_default_lifetime"", ""security_token_generation_cancelled""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""src/client/ua_client_connect.c"", ""symbol"": ""processOPNResponse"", ""lines"": ""495-589"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/src/client/ua_client_connect.c#L495-L589"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Record token installation and nextChannelRenewal at lines 560-565; record RENEW only after UA_SecureChannel_sendAsymmetricOPNMessage succeeds at lines 625-640. Store logical threshold/expiry and actual send time separately.,HYBRID
OPCUA-SC-02,old_security_token_expired_default_lifetime,The old token reaches createdAt+600000 ms while it remains the alternate token after renewal.,SecureChannelId + old tokenId + message requestId; identifiers remain fields,EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one SecureChannel and one expired old token; retain only messages carrying that tokenId during the 25% window and end on explicit close/rollover.,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:1"", ""role"": ""old-token installation and expiry-field snapshot"", ""event_predicate"": ""The old token reaches createdAt+600000 ms while it remains the alternate token after renewal."", ""instrumentation_timing"": ""Emit received on entry with tokenId matching altSecurityToken; merge accepted into the same timestamp only if checkSymHeader returns GOOD. End the token projection on explicit channel close or old-token rollover."", ""atomic_propositions"": [""old_security_token_expired_default_lifetime""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""src/client/ua_client_connect.c"", ""symbol"": ""processOPNResponse"", ""lines"": ""495-589"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/src/client/ua_client_connect.c#L495-L589"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}, {""mapping"": ""auxiliary:2"", ""role"": ""600000 ms client lifetime profile"", ""event_predicate"": ""The old token reaches createdAt+600000 ms while it remains the alternate token after renewal."", ""instrumentation_timing"": ""Emit received on entry with tokenId matching altSecurityToken; merge accepted into the same timestamp only if checkSymHeader returns GOOD. End the token projection on explicit channel close or old-token rollover."", ""atomic_propositions"": [""old_security_token_expired_default_lifetime""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""plugins/ua_config_default.c"", ""symbol"": ""UA_ClientConfig_setDefault"", ""lines"": ""1115-1118"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/plugins/ua_config_default.c#L1115-L1118"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit received on entry with tokenId matching altSecurityToken; merge accepted into the same timestamp only if checkSymHeader returns GOOD. End the token projection on explicit channel close or old-token rollover.,WHITEBOX
OPCUA-SC-02,old_token_message_received,A message with the correlated old tokenId reaches checkSymHeader and passes framing/cryptographic preconditions.,SecureChannelId + old tokenId + message requestId; identifiers remain fields,EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one SecureChannel and one expired old token; retain only messages carrying that tokenId during the 25% window and end on explicit close/rollover.,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""A message with the correlated old tokenId reaches checkSymHeader and passes framing/cryptographic preconditions."", ""instrumentation_timing"": ""Emit received on entry with tokenId matching altSecurityToken; merge accepted into the same timestamp only if checkSymHeader returns GOOD. End the token projection on explicit channel close or old-token rollover."", ""atomic_propositions"": [""old_token_message_received"", ""old_token_message_accepted""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""src/ua_securechannel_crypto.c"", ""symbol"": ""checkSymHeader"", ""lines"": ""506-569"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/src/ua_securechannel_crypto.c#L506-L569"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit received on entry with tokenId matching altSecurityToken; merge accepted into the same timestamp only if checkSymHeader returns GOOD. End the token projection on explicit channel close or old-token rollover.,WHITEBOX
OPCUA-SC-02,old_token_message_accepted,checkSymHeader returns GOOD for that old-token message in the same merged callback valuation.,SecureChannelId + old tokenId + message requestId; identifiers remain fields,EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Project one SecureChannel and one expired old token; retain only messages carrying that tokenId during the 25% window and end on explicit close/rollover.,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""primary"", ""role"": ""primary property hook"", ""event_predicate"": ""checkSymHeader returns GOOD for that old-token message in the same merged callback valuation."", ""instrumentation_timing"": ""Emit received on entry with tokenId matching altSecurityToken; merge accepted into the same timestamp only if checkSymHeader returns GOOD. End the token projection on explicit channel close or old-token rollover."", ""atomic_propositions"": [""old_token_message_received"", ""old_token_message_accepted""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""src/ua_securechannel_crypto.c"", ""symbol"": ""checkSymHeader"", ""lines"": ""506-569"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/src/ua_securechannel_crypto.c#L506-L569"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Emit received on entry with tokenId matching altSecurityToken; merge accepted into the same timestamp only if checkSymHeader returns GOOD. End the token projection on explicit channel close or old-token rollover.,WHITEBOX
OPCUA-SESS-01,session_idle_window_started_1200000,"After UA_Session_updateLifetime for a Session whose revised timeout is 1200000 ms, the adapter opens a fresh idle window.",server instance + authenticationToken/sessionId; dynamic NodeIds remain fields,EXACTLY_ONE_TRIGGER_PER_PROJECTED_WORD; each reset/restart closes the old generation and opens a separately monitored generation. Correlate one Session generation; each valid Service activity satisfies the old generation and starts a new projected word; explicit close/shutdown cancels it.,"one correlated obligation instance per timed word; if the trigger can repeat, the adapter spawns a new projection keyed by timer/request generation","[{""mapping"": ""auxiliary:1"", ""role"": ""Session logical idle deadline"", ""event_predicate"": ""After UA_Session_updateLifetime for a Session whose revised timeout is 1200000 ms, the adapter opens a fresh idle window."", ""instrumentation_timing"": ""Open/reset from UA_Session_updateLifetime and the valid Service dispatch hook; emit timeout immediately before UA_Server_removeSession. Store session.validTill as the logical deadline and cleanup callback time separately."", ""atomic_propositions"": [""session_idle_window_started_1200000"", ""session_service_activity""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""src/server/ua_session.c"", ""symbol"": ""UA_Session_updateLifetime"", ""lines"": ""125-131"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/src/server/ua_session.c#L125-L131"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}, {""mapping"": ""auxiliary:3"", ""role"": ""revised Session timeout creation"", ""event_predicate"": ""After UA_Session_updateLifetime for a Session whose revised timeout is 1200000 ms, the adapter opens a fresh idle window."", ""instrumentation_timing"": ""Open/reset from UA_Session_updateLifetime and the valid Service dispatch hook; emit timeout immediately before UA_Server_removeSession. Store session.validTill as the logical deadline and cleanup callback time separately."", ""atomic_propositions"": [""session_idle_window_started_1200000""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""src/server/ua_services_session.c"", ""symbol"": ""UA_Server_createSession / Service_CreateSession"", ""lines"": ""224-260;263-393"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/src/server/ua_services_session.c#L224-L260"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}, {""mapping"": ""auxiliary:5"", ""role"": ""1200000 ms requested client profile"", ""event_predicate"": ""After UA_Session_updateLifetime for a Session whose revised timeout is 1200000 ms, the adapter opens a fresh idle window."", ""instrumentation_timing"": ""Open/reset from UA_Session_updateLifetime and the valid Service dispatch hook; emit timeout immediately before UA_Server_removeSession. Store session.validTill as the logical deadline and cleanup callback time separately."", ""atomic_propositions"": [""session_idle_window_started_1200000""], ""repository"": ""open62541/open62541"", ""commit"": ""76e425ee963e8c16c0414f2f6bd0c7a5761a92c3"", ""path"": ""plugins/ua_config_default.c"", ""symbol"": ""UA_ClientConfig_setDefault"", ""lines"": ""1173-1174"", ""url"": ""https://github.com/open62541/open62541/blob/76e425ee963e8c16c0414f2f6bd0c7a5761a92c3/plugins/ua_config_default.c#L1173-L1174"", ""source_file_verified"": true, ""source_line_verified"": true, ""source_symbol_verified"": true}]",{},Open/reset from UA_Session_updateLifetime and the valid Service dispatch hook; emit timeout immediately before UA_Server_removeSession. Store session.validTill as the logical deadline and cleanup callback time separately.,HYBRID
