property_id,category,role,requirement,source_strength,rfc,section,rfc_url,rfc_excerpt_summary,time_bound_ms,time_source,mathematical_mitl,mightyppl_formula,formula_kind,trigger_ap,outcome_or_bad_ap,ap_set,correlation_key,primary_hooks,auxiliary_hooks,positive_timed_word,negative_timed_word,observability,oracle_value,confidence,human_review_status,review_question
SIP-KAM-001,INVITE server transaction,UAS/server transaction,A newly constructed INVITE server transaction enters Proceeding and exposes the request to the transaction user.,MUST/state-machine,RFC3261,17.2.1,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.1,"When a server transaction is constructed for an INVITE request, it starts in Proceeding and the request is passed upward.",2,"adapter microstep expansion for same callback, not an RFC tolerance","G(server_rx_invite_new_tx -> F_[0,2ms] invite_tx_proceeding)","G* (server_rx_invite_new_tx -> F [0,2] invite_tx_proceeding)",eventual,server_rx_invite_new_tx,invite_tx_proceeding,server_rx_invite_new_tx|invite_tx_proceeding,Call-ID + CSeq number/method + top Via branch/sent-by,HK_RX_PARSE_OK|HK_TX_NEW,HK_TX_LOOKUP,"time,props\n0,{server_rx_invite_new_tx}\n1,{invite_tx_proceeding}\n","time,props\n0,{server_rx_invite_new_tx}\n3,{invite_tx_proceeding}\n",white-box hook after parser and transaction creation,high: catches transaction creation/routing regressions,HIGH,PENDING,Should the benchmark count parser-rejected INVITEs separately from malformed-message oracles?
SIP-KAM-002,INVITE provisional response,UAS/server transaction,"If INVITE processing may take longer than the RFC 200 ms window and no earlier TU response exists, emit 100 Trying.",SHOULD with timer bound,RFC3261,17.2.1,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.1,The server transaction generates 100 Trying unless it knows the TU will respond within 200 ms.,200,RFC3261 section 17.2.1,"G(invite_auto_100_obligation -> F_[0,200ms] uas_tx_100_trying)","G* (invite_auto_100_obligation -> F [0,200] uas_tx_100_trying)",eventual,invite_auto_100_obligation,uas_tx_100_trying,invite_auto_100_obligation|uas_tx_100_trying,same INVITE server transaction,HK_RELAY_REPLY|HK_SEND_PR_BUFFER,HK_TX_NEW,"time,props\n0,{invite_auto_100_obligation}\n100,{uas_tx_100_trying}\n","time,props\n0,{invite_auto_100_obligation}\n201,{uas_tx_100_trying}\n",white-box send hook; black-box packet capture can cross-check,medium/high: detects loss of early provisional feedback,MEDIUM,Kamailio auto_inv_100 and route-script behavior must be fixed in experiment profile.,"Does the chosen Kamailio cfg always enable auto_inv_100, or should this be a profile-specific property?"
SIP-KAM-003,INVITE provisional relay,UAS/proxy transaction,A provisional 101-199 response selected by the transaction layer while INVITE is Proceeding is passed to transport.,MUST/state-machine,RFC3261,17.2.1,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.1,"In Proceeding, provisional responses from the TU are passed to the transport layer.",2,adapter microstep expansion,"G(invite_proceeding_tu_provisional -> F_[0,2ms] uas_tx_provisional_response)","G* (invite_proceeding_tu_provisional -> F [0,2] uas_tx_provisional_response)",eventual,invite_proceeding_tu_provisional,uas_tx_provisional_response,invite_proceeding_tu_provisional|uas_tx_provisional_response,same INVITE transaction and response branch,HK_RELAY_REPLY|HK_SEND_PR_BUFFER,HK_REPLY_RECEIVED,"time,props\n0,{invite_proceeding_tu_provisional}\n1,{uas_tx_provisional_response}\n","time,props\n0,{invite_proceeding_tu_provisional}\n3,{uas_tx_provisional_response}\n",send hook plus optional pcap,high: detects swallowed provisional responses,HIGH,PENDING,Confirm whether ProfuzzBench route exposes upstream provisional responses during fuzzing.
SIP-KAM-004,INVITE retransmission suppression,UAS/server transaction,A retransmitted INVITE in Proceeding retransmits the most recent provisional response instead of creating a fresh TU event.,MUST/state-machine,RFC3261,17.2.1,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.1,"If a request retransmission is received in Proceeding, the most recent provisional response is retransmitted.",2,adapter microstep expansion,"G(invite_retransmission_in_proceeding_with_last_prov -> F_[0,2ms] uas_retransmit_last_provisional)","G* (invite_retransmission_in_proceeding_with_last_prov -> F [0,2] uas_retransmit_last_provisional)",eventual,invite_retransmission_in_proceeding_with_last_prov,uas_retransmit_last_provisional,invite_retransmission_in_proceeding_with_last_prov|uas_retransmit_last_provisional,same branch/sent-by/method transaction key,HK_TX_LOOKUP|HK_RETRANSMIT_REPLY,HK_SEND_PR_BUFFER,"time,props\n0,{invite_retransmission_in_proceeding_with_last_prov}\n1,{uas_retransmit_last_provisional}\n","time,props\n0,{invite_retransmission_in_proceeding_with_last_prov}\n3,{uas_retransmit_last_provisional}\n",white-box transaction lookup and send hook,high: catches duplicate transaction/TU re-entry bugs,HIGH,PENDING,Need auxiliary counter to prove TU was not re-entered if using this as a bug claim.
SIP-KAM-005,INVITE final response,UAS/server transaction,A 300-699 final response from the TU moves INVITE server transaction to Completed and is sent.,MUST/state-machine,RFC3261,17.2.1,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.1,"When a 300 to 699 response is passed to the server transaction, it enters Completed and passes the response to transport.",2,adapter microstep expansion,"G(invite_proceeding_tu_final_300_699 -> F_[0,2ms] invite_tx_completed_non2xx)","G* (invite_proceeding_tu_final_300_699 -> F [0,2] invite_tx_completed_non2xx)",eventual,invite_proceeding_tu_final_300_699,invite_tx_completed_non2xx,invite_proceeding_tu_final_300_699|invite_tx_completed_non2xx,same INVITE server transaction,HK_RELAY_REPLY|HK_SEND_PR_BUFFER,HK_TIMER_ARM,"time,props\n0,{invite_proceeding_tu_final_300_699}\n1,{invite_tx_completed_non2xx}\n","time,props\n0,{invite_proceeding_tu_final_300_699}\n3,{invite_tx_completed_non2xx}\n",send hook and transaction status update,high: detects final-response loss or wrong state,HIGH,PENDING,"For proxy mode, distinguish final response selected for upstream UAS from downstream branch final."
SIP-KAM-006,INVITE Timer H/lifetime,UAS/server transaction,"After non-2xx Completed, the transaction must not be destroyed before ACK or Timer H expiry.",MUST/state-machine timer,RFC3261,17.2.1 and Table 4,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.1,Timer H is 64*T1 for INVITE server transactions in Completed; ACK or timeout governs termination.,32000,64*T1 using RFC default T1=500 ms,"G(invite_tx_completed_non2xx -> G_[0,32000ms) not early_terminated)","G* (invite_tx_completed_non2xx -> G [0,32000) (!invite_tx_terminated_without_ack_or_timer_h))",safety,invite_tx_completed_non2xx,invite_tx_terminated_without_ack_or_timer_h,invite_tx_completed_non2xx|invite_tx_terminated_without_ack_or_timer_h,same INVITE server transaction,HK_SEND_PR_BUFFER|HK_PUT_ON_WAIT,HK_TIMER_ARM|HK_TIMER_STOP,"time,props\n0,{invite_tx_completed_non2xx}\n1,{}\n","time,props\n0,{invite_tx_completed_non2xx}\n1,{invite_tx_terminated_without_ack_or_timer_h}\n",white-box wait/timer hooks; pcap alone cannot prove early destroy,medium: detects premature state drop,MEDIUM,"ProfuzzBench patch disables timer processes; callback expiry needs reference build, but early destroy remains observable.","Should a test watchdog close the trace at 32s, or should unfinished obligations be UNKNOWN?"
SIP-KAM-007,INVITE ACK handling,UAS/server transaction,An ACK matching a Completed INVITE server transaction moves it to Confirmed and stops response retransmission.,MUST/state-machine,RFC3261,17.2.1,https://www.rfc-editor.org/rfc/rfc3261.html#section-17.2.1,"When an ACK is received in Completed, the server transaction transitions to Confirmed.",2,adapter microstep expansion,"G(invite_completed_rx_ack -> F_[0,2ms] invite_tx_confirmed_ack_absorbed)","G* (invite_completed_rx_ack -> F [0,2] invite_tx_confirmed_ack_absorbed)",eventual,invite_completed_rx_ack,invite_tx_confirmed_ack_absorbed,invite_completed_rx_ack|invite_tx_confirmed_ack_absorbed,same INVITE transaction; ACK matches INVITE method exception,HK_TX_LOOKUP|HK_TIMER_STOP,HK_T_REPLY_MATCHING,"time,props\n0,{invite_completed_rx_ack}\n1,{invite_tx_confirmed_ack_absorbed}\n","time,props\n0,{invite_completed_rx_ack}\n3,{invite_tx_confirmed_ack_absorbed}\n",white-box lookup/timer-stop hook,high: detects ACK misclassification,HIGH,PENDING,"Need separate AP for 2xx ACK, because RFC6026 Accepted ACK is passed upward rather than absorbed."
SIP-KAM-008,INVITE 2xx Accepted,UAS/server transaction,"Under RFC6026, a 2xx to INVITE transitions the server transaction to Accepted and arms Timer L.",MUST/update state-machine,RFC6026,7.1 and 8.7,https://www.rfc-editor.org/rfc/rfc6026.html#section-7.1,The update adds Accepted and Timer L; 2xx in Proceeding transitions to Accepted and Timer L is 64*T1.,2,adapter microstep expansion for transition; Timer L value is 64*T1=32000 ms,"G(invite_2xx_response_from_tu -> F_[0,2ms] timer_l_64t1_armed)","G* (invite_2xx_response_from_tu -> F [0,2] timer_l_64t1_armed)",eventual,invite_2xx_response_from_tu,timer_l_64t1_armed,invite_2xx_response_from_tu|timer_l_64t1_armed,same INVITE server transaction,HK_RELAY_REPLY|HK_TIMER_ARM,HK_SEND_PR_BUFFER,"time,props\n0,{invite_2xx_response_from_tu}\n1,{timer_l_64t1_armed}\n","time,props\n0,{invite_2xx_response_from_tu}\n3,{timer_l_64t1_armed}\n",white-box timer arm and response hook,medium/high: RFC6026 conformance oracle,MEDIUM,Likely requires reference profile and manual audit because Kamailio may encode Accepted differently from RFC names.,"Can we observe an explicit Timer L equivalent, or must this be an excluded/extended property?"
SIP-KAM-009,RFC6026 retransmitted INVITE in Accepted,UAS/server transaction,Retransmitted INVITEs in Accepted are absorbed by the transaction and not re-delivered to the TU.,MUST/update state-machine,RFC6026,8.7,https://www.rfc-editor.org/rfc/rfc6026.html#section-8.7,The Accepted state absorbs retransmissions of the original INVITE and does not pass them to the TU.,2,adapter microstep expansion,"G(accepted_rx_invite_retransmission -> G_[0,2ms] not passed_to_tu)","G* (accepted_rx_invite_retransmission -> G [0,2] (!invite_retransmission_passed_to_tu))",safety,accepted_rx_invite_retransmission,invite_retransmission_passed_to_tu,accepted_rx_invite_retransmission|invite_retransmission_passed_to_tu,same INVITE branch/sent-by/method transaction key,HK_TX_LOOKUP|HK_TX_NEW,HK_RETRANSMIT_REPLY,"time,props\n0,{accepted_rx_invite_retransmission}\n1,{}\n","time,props\n0,{accepted_rx_invite_retransmission}\n1,{invite_retransmission_passed_to_tu}\n",white-box lookup plus route/TU boundary hook,medium: detects duplicate TU delivery,MEDIUM,Requires route-boundary hook to prove non-delivery; absence of event alone is UNKNOWN if hooks dropped.,Where should the TU delivery hook sit in Kamailio route execution for minimal perturbation?
SIP-KAM-010,RFC6026 ACK in Accepted,UAS/server transaction,ACKs in Accepted are passed directly to the TU rather than absorbed by the transaction layer.,MUST/update state-machine,RFC6026,8.7,https://www.rfc-editor.org/rfc/rfc6026.html#section-8.7,ACK requests that match an Accepted transaction are passed directly to the TU.,2,adapter microstep expansion,"G(accepted_rx_ack -> F_[0,2ms] ack_passed_to_tu)","G* (accepted_rx_ack -> F [0,2] ack_passed_to_tu)",eventual,accepted_rx_ack,ack_passed_to_tu,accepted_rx_ack|ack_passed_to_tu,same INVITE accepted transaction and ACK matching key,HK_TX_LOOKUP|HK_RX_PARSE_OK,HK_TIMER_STOP,"time,props\n0,{accepted_rx_ack}\n1,{ack_passed_to_tu}\n","time,props\n0,{accepted_rx_ack}\n3,{ack_passed_to_tu}\n",white-box transaction lookup plus route/TU hook,medium: detects wrong ACK absorption,MEDIUM,Needs manual confirmation of Kamailio route callback representing TU delivery.,Should ACK-to-TU be considered a route-level event or a tm callback event in this SUT?
